time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.852928,5.125907,-0.046640,-0.816011,3.093254,-0.020486
0.050000,-0.644141,5.098335,-0.214557,-0.778773,3.091662,-0.011460
0.100000,-0.442493,5.037422,-0.369118,-0.689607,3.091391,0.399452
0.150000,-0.251817,4.947814,-0.507015,-0.620076,3.119988,1.222816
0.200000,-0.074403,4.834116,-0.630537,-0.553593,3.202941,1.612904
0.250000,0.088443,4.700361,-0.743429,-0.517612,3.306857,1.526596
0.300000,0.235876,4.549751,-0.846838,-0.464566,3.403601,1.810932
0.350000,0.367779,4.385356,-0.941221,-0.430984,3.513761,1.773765
0.400000,0.484279,4.209689,-1.027780,-0.390726,3.619002,1.949676
0.450000,0.585895,4.025002,-1.106642,-0.357558,3.730944,2.032221
0.500000,0.673327,3.833183,-1.178416,-0.323598,3.844335,2.198566
0.550000,0.747467,3.635836,-1.243357,-0.292384,3.963315,2.358559
0.600000,0.809302,3.434287,-1.301778,-0.262725,4.087124,2.541824
0.650000,0.859875,3.229616,-1.354511,-0.234968,4.216484,2.738959
0.700000,0.900241,3.022685,-1.400397,-0.208855,4.351580,2.957518
0.750000,0.931453,2.814172,-1.444316,-0.184096,4.492916,3.208803
0.800000,0.954542,2.604601,-1.475370,-0.160642,4.641397,3.495575
0.850000,0.970523,2.394365,-1.507205,-0.137055,4.798021,3.885326
0.900000,0.980415,2.183752,-1.619168,-0.114715,4.966303,4.328260
0.950000,0.985215,1.972959,-0.938825,-0.091793,5.147459,4.916668
1.000000,0.985938,1.762112,-1.049985,-0.068186,5.345624,5.261354
1.050000,0.983671,1.551275,-1.749550,-0.037799,5.549264,5.227008
1.100000,0.979739,1.340461,-1.543936,-0.005219,5.744428,5.231318
1.150000,0.975426,1.129654,-1.604124,0.003727,5.933337,5.224001
1.200000,0.971226,0.918846,-1.586928,0.002697,6.116158,5.219996
1.250000,0.967155,0.708034,-1.590706,0.002712,6.293538,5.215062
1.300000,0.963203,0.497221,-1.589050,0.002499,6.465892,5.210516
1.350000,0.959362,0.286405,-1.588812,0.002347,6.633625,5.205337
1.400000,0.955626,0.075588,-1.588274,0.002135,6.797062,5.202347
1.450000,0.951985,-0.135232,-1.587850,0.002036,6.956560,5.191532
1.500000,0.948435,-0.346053,-1.587422,0.002000,7.112198,5.207548
1.550000,0.944973,-0.556875,-1.587012,0.001889,7.264828,5.138013
1.600000,0.941595,-0.767699,-1.586621,0.001826,7.412881,5.309954
1.650000,0.938300,-0.978524,-1.586222,0.001983,7.560670,0.483560
1.700000,0.935094,-1.189350,-1.585776,0.002248,7.565151,-9.700571
1.750000,0.931987,-1.400178,-1.585275,0.002502,7.288487,-9.514192
1.800000,0.928993,-1.611008,-1.584711,0.002877,7.008024,-9.745799
1.850000,0.926125,-1.821839,-1.584077,0.003090,6.707702,-9.238556
1.900000,0.923327,-2.032671,-1.584527,-0.009222,6.413970,-6.476216
1.950000,0.920041,-2.243496,-1.589220,-0.036268,6.198330,-5.455084
2.000000,0.915217,-2.454290,-1.598641,-0.051718,6.010911,-4.609414
2.050000,0.908088,-2.665020,-1.611121,-0.066779,5.847598,-4.054715
2.100000,0.898004,-2.875629,-1.626616,-0.079942,5.699955,-3.676928
2.150000,0.884376,-3.086040,-1.644742,-0.091883,5.562593,-3.424317
2.200000,0.866680,-3.296149,-1.665294,-0.102968,5.431409,-3.320913
2.250000,0.844433,-3.505826,-1.688050,-0.112736,5.300963,-3.278675
2.300000,0.817207,-3.714912,-1.712854,-0.122615,5.168963,-3.226694
2.350000,0.784581,-3.923220,-1.739860,-0.133718,5.035671,-3.188868
2.400000,0.746092,-4.130521,-1.769314,-0.145798,4.900419,-3.079140
2.450000,0.701235,-4.336532,-1.801593,-0.160756,4.766275,-2.940663
2.500000,0.649416,-4.540899,-1.837250,-0.177661,4.634495,-2.836442
2.550000,0.589977,-4.743178,-1.876576,-0.195468,4.503775,-2.692497
2.600000,0.522239,-4.942828,-1.919933,-0.216051,4.376105,-2.541956
2.650000,0.445472,-5.139180,-1.967850,-0.238618,4.252095,-2.373495
2.700000,0.358914,-5.331415,-2.020774,-0.263536,4.132967,-2.211660
2.750000,0.261808,-5.518540,-2.079123,-0.290029,4.018764,-2.058482
2.800000,0.153441,-5.699371,-2.143222,-0.318112,3.909526,-1.906826
2.850000,0.033196,-5.872519,-2.213419,-0.347881,3.805472,-1.820661
2.900000,-0.099401,-6.036390,-2.289775,-0.376732,3.703325,-1.678139
2.950000,-0.244607,-6.189190,-2.372922,-0.412170,3.606911,-1.494638
3.000000,-0.402483,-6.328841,-2.462823,-0.440510,3.518507,-1.601581
3.050000,-0.572618,-6.453253,-2.558544,-0.467781,3.420867,-1.557130
3.100000,-0.754134,-6.560341,-2.659376,-0.489439,3.323566,-1.937906
3.150000,-0.945742,-6.648080,-2.766271,-0.528549,3.197728,-1.490446
3.200000,-1.146009,-6.713655,-2.887241,-0.618750,3.099882,-0.724369
3.250000,-1.353047,-6.752732,-3.025531,-0.694361,3.051461,-0.070087
