# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
0.000000,-0.852928,5.125907,-0.046640,-0.816011,3.355342,-0.090013,-3.985066
0.010000,-0.804113,5.122728,-0.086490,-0.818667,3.369010,0.005203,-3.959654
0.020000,-0.755507,5.117565,-0.125833,-0.813288,3.380675,0.000620,-3.905664
0.030000,-0.707161,5.110476,-0.164604,-0.801458,3.391113,-0.001816,-3.845346
0.040000,-0.659129,5.101519,-0.202740,-0.784760,3.401099,-0.002540,-3.778699
0.050000,-0.611465,5.090752,-0.240178,-0.764778,3.411411,-0.002034,-3.705722
0.060000,-0.564220,5.078233,-0.276854,-0.743096,3.422823,-0.000821,-3.626417
0.070000,-0.517449,5.064020,-0.312706,-0.721295,3.436112,0.000537,-3.540783
0.080000,-0.471204,5.048171,-0.347670,-0.700962,3.452054,0.001490,-3.449326
0.090000,-0.425535,5.030744,-0.381692,-0.683359,3.471256,0.001799,-3.355681
0.100000,-0.380480,5.011795,-0.414783,-0.667784,3.493277,0.001684,-3.264170
0.110000,-0.336066,4.991384,-0.446976,-0.652784,3.517279,0.001262,-3.175988
0.120000,-0.292326,4.969568,-0.478303,-0.636903,3.542421,0.000550,-3.091238
0.130000,-0.249286,4.946405,-0.508801,-0.618963,3.567975,-0.000235,-3.010789
0.140000,-0.206967,4.921951,-0.538519,-0.599929,3.594059,-0.000687,-2.935775
0.150000,-0.165382,4.896263,-0.567516,-0.581764,3.621193,-0.000539,-2.866558
0.160000,-0.124545,4.869397,-0.595850,-0.566439,3.649896,0.000315,-2.803051
0.170000,-0.084470,4.841408,-0.623577,-0.555660,3.680595,0.001408,-2.744298
0.180000,-0.045174,4.812339,-0.650736,-0.548517,3.712794,0.001962,-2.688936
0.190000,-0.006673,4.782225,-0.677356,-0.542614,3.745473,0.001714,-2.636465
0.200000,0.031017,4.751102,-0.703465,-0.535538,3.777605,0.000747,-2.586769
0.210000,0.067880,4.719006,-0.729091,-0.525071,3.808252,-0.000377,-2.538302
0.220000,0.103910,4.685978,-0.754231,-0.511483,3.837586,-0.000916,-2.488646
0.230000,0.139107,4.652061,-0.778864,-0.496758,3.866547,-0.000697,-2.436795
0.240000,0.173473,4.617299,-0.802967,-0.482913,3.896088,0.000085,-2.382833
0.250000,0.207007,4.581735,-0.826521,-0.471861,3.927111,0.000938,-2.328609
0.260000,0.239709,4.545406,-0.849539,-0.463706,3.959627,0.001329,-2.277321
0.270000,0.271576,4.508342,-0.872067,-0.457052,3.992911,0.001170,-2.230465
0.280000,0.302606,4.470575,-0.894149,-0.450457,4.026212,0.000623,-2.188019
