# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
0.000000,-0.852928,5.125907,-0.046640,-0.816011,3.355342,-0.477184,-3.870758
0.050000,-0.611465,5.090752,-0.240178,-0.764778,3.411411,0.015473,-3.681437
0.100000,-0.380480,5.011795,-0.414783,-0.667784,3.493277,0.017706,-3.273385
0.150000,-0.165382,4.896263,-0.567516,-0.581764,3.621193,0.013689,-2.886820
0.200000,0.031017,4.751102,-0.703465,-0.535538,3.777605,0.010241,-2.590047
0.250000,0.207007,4.581735,-0.826521,-0.471861,3.927111,0.010174,-2.336507
0.300000,0.362151,4.393051,-0.937116,-0.432970,4.090564,0.008618,-2.106043
0.350000,0.496595,4.189068,-1.037125,-0.387086,4.251871,0.008201,-1.898366
0.400000,0.611140,3.973262,-1.126953,-0.347849,4.419544,0.007763,-1.701595
0.450000,0.706943,3.748489,-1.207284,-0.310025,4.592471,0.007252,-1.516966
0.500000,0.785451,3.517093,-1.278649,-0.274575,4.772109,0.006605,-1.347010
0.550000,0.848250,3.280937,-1.341985,-0.241741,4.959252,0.007456,-1.175548
0.600000,0.896983,3.041473,-1.396204,-0.211157,5.154117,0.001681,-1.038470
0.650000,0.933287,2.799804,-1.445833,-0.182453,5.357200,0.008912,-1.083490
0.700000,0.958771,2.556750,-1.504553,-0.155255,5.569303,0.094090,0.744775
0.750000,0.975018,2.312899,-1.371355,-0.128336,5.789648,-0.723631,-7.190808
0.800000,0.983603,2.068653,-2.223634,-0.102278,6.006671,3.056089,-7.892441
0.850000,0.986087,1.824267,-2.160599,-0.075285,6.215455,2.722790,5.460314
0.900000,0.984110,1.579874,-1.677603,-0.042833,6.417312,0.456911,6.174607
0.950000,0.979639,1.335512,-1.543138,-0.004746,6.612807,-0.229728,0.755001
1.000000,0.974649,1.091159,-1.602103,0.003638,6.802487,0.054839,-0.456013
1.050000,0.969821,0.846803,-1.588740,0.002738,6.986830,-0.007171,0.125874
1.100000,0.965161,0.602444,-1.589515,0.002562,7.166247,-0.000154,-0.002499
1.150000,0.960656,0.358083,-1.588990,0.002425,7.341099,0.000255,0.011639
1.200000,0.956294,0.113718,-1.588351,0.002164,7.511703,-0.000126,0.011297
1.250000,0.952063,-0.130649,-1.587860,0.002038,7.678356,-0.000001,0.009863
1.300000,0.947954,-0.375018,-1.587365,0.001991,7.841272,-0.000018,0.009656
1.350000,0.943963,-0.619389,-1.586894,0.001854,8.000615,-0.000018,0.009221
1.400000,0.940084,-0.863762,-1.586443,0.001872,8.158054,0.000029,0.009397
1.450000,0.936318,-1.108136,-1.585955,0.002143,8.304388,0.000060,0.010495
1.500000,0.932680,-1.352513,-1.585393,0.002448,8.474691,0.000063,0.012033
1.550000,0.929189,-1.596891,-1.584751,0.002836,8.314660,0.000079,0.013661
1.600000,0.925867,-1.841272,-1.584027,0.002926,8.014933,-0.001311,-0.004489
1.650000,0.922591,-2.085654,-1.585200,-0.016555,7.724849,-0.005315,-0.086488
1.700000,0.918295,-2.330019,-1.592676,-0.042993,7.474109,-0.004155,-0.201590
1.750000,0.911482,-2.574325,-1.605359,-0.060482,7.241132,-0.003381,-0.294647
1.800000,0.901067,-2.818506,-1.622141,-0.076551,7.022461,-0.002985,-0.372256
1.850000,0.886098,-3.062451,-1.642585,-0.090574,6.812854,-0.002685,-0.441744
1.900000,0.865740,-3.306006,-1.666315,-0.103456,6.608868,-0.002410,-0.504102
1.950000,0.839243,-3.548970,-1.692995,-0.114686,6.406197,-0.002241,-0.561326
2.000000,0.805941,-3.791091,-1.722448,-0.126537,6.203497,-0.002507,-0.619855
