# c6401bec-336e-4a9d-bd8d-fdfc41519f9c
# c572463a77d4f804c007699c6f50bed5ee109cb0
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.8489285; 5.0292245; -0.0277121; -0.8308541; 2.7280882; -0.0159346
0.1989465; -0.6513801; 5.0075759; -0.1895329; -0.7989674; 2.7269259; -0.0159210
0.3978931; -0.4596086; 4.9553250; -0.3396589; -0.7139896; 2.7257641; -0.0159074
0.5968396; -0.2770895; 4.8765252; -0.4724175; -0.6226849; 2.7246028; -0.0159074
0.7957861; -0.1057704; 4.7756079; -0.5902718; -0.5629049; 2.7234410; 0.8142587
0.9947326; 0.0532228; 4.6561760; -0.6962505; -0.5034996; 2.7822866; 1.1958682
1.1936792; 0.1994355; 4.5213791; -0.7918143; -0.4577621; 2.8665217; 1.1671950
1.3926257; 0.3327588; 4.3738059; -0.8791037; -0.4201322; 2.9464157; 1.1010197
1.5915722; 0.4532935; 4.2156034; -0.9591808; -0.3854190; 3.0198433; 1.1053775
1.7905188; 0.5613402; 4.0486127; -1.0328646; -0.3556938; 3.0918078; 1.0701012
1.9894653; 0.6573034; 3.8743878; -1.1009178; -0.3288200; 3.1599148; 1.0570376
2.1884118; 0.7416658; 3.6942512; -1.1638957; -0.3046180; 3.2257789; 1.0449147
2.3873583; 0.8149581; 3.5093265; -1.2222764; -0.2825162; 3.2895917; 1.0396919
2.5863049; 0.8777442; 3.3205698; -1.2763917; -0.2616698; 3.3518800; 1.0570153
2.7852514; 0.9306229; 3.1287971; -1.3264326; -0.2414688; 3.4140414; 1.1018950
2.9841979; 0.9742336; 2.9347033; -1.3724553; -0.2211956; 3.4776594; 1.1877277
3.1831445; 1.0092678; 2.7388772; -1.4143836; -0.2002641; 3.5449547; 1.3250277
3.3820910; 1.0364794; 2.5418097; -1.4520578; -0.1783448; 3.6185526; 1.5198167
3.5810375; 1.0566909; 2.3439001; -1.4852159; -0.1548074; 3.7011684; 1.8069537
3.7799840; 1.0708079; 2.1454608; -1.5134977; -0.1294209; 3.7970544; 2.2133856
3.9789306; 1.0798158; 1.9467224; -1.5366350; -0.1031191; 3.9113057; 2.7220792
4.1778771; 1.0847480; 1.7478398; -1.5544681; -0.0753552; 4.0473953; 3.7927730
4.3768236; 1.0867310; 1.5489047; -1.5660533; -0.0410603; 4.2297195; 5.2616632
4.5757702; 1.0870905; 1.3499595; -1.5708253; -0.0107491; 4.4703586; 5.2571769
4.7747167; 1.0868705; 1.1510132; -1.5729948; -0.0117847; 4.6984998; 5.2526945
4.9736632; 1.0861555; 0.9520679; -1.5759974; -0.0175065; 4.9158836; 5.2482159
5.1726098; 1.0847828; 0.7531263; -1.5793527; -0.0162014; 5.1238794; 5.2437411
5.3715563; 1.0827697; 0.5541900; -1.5824286; -0.0147327; 5.3235879; 5.2392702
5.5705028; 1.0801731; 0.3552605; -1.5852226; -0.0133452; 5.5159095; 5.2348030
5.7694493; 1.0770487; 0.1563385; -1.5877324; -0.0118967; 5.7015918; 5.2303397
5.9683959; 1.0734532; -0.0425755; -1.5899629; -0.0105201; 5.8812639; 5.2258801
6.1673424; 1.0694415; -0.2414815; -1.5919143; -0.0090884; 6.0554609; 5.2214244
6.3662889; 1.0650705; -0.4403800; -1.5935732; -0.0075920; 6.2246425; 5.2169725
6.5652355; 1.0603990; -0.6392716; -1.5949377; -0.0061258; 6.3892075; 5.2125243
6.7641820; 1.0554851; -0.8381574; -1.5960102; -0.0046235; 6.5495037; 5.2080800
6.9631285; 1.0503894; -1.0370387; -1.5967571; -0.0028798; 6.7058376; -2.9490514
7.1620750; 1.0451800; -1.2359170; -1.5971529; -0.0011167; 6.6177678; -9.8040466
7.3610216; 1.0399258; -1.4347941; -1.5972104; 0.0006466; 6.3161609; -9.5408903
7.5599681; 1.0347009; -1.6336721; -1.5968327; 0.0029662; 6.0081307; -9.2458563
7.7589146; 1.0295871; -1.8325529; -1.5961262; 0.0050811; 5.6937486; -8.4800808
7.9578612; 1.0247064; -2.0314389; -1.5942841; 0.0108947; 5.3893049; -8.4527873
8.1568077; 1.0201704; -2.2303321; -1.5933262; -0.0022697; 5.0676723; -7.5035773
8.3557542; 1.0155108; -2.4292225; -1.5957818; -0.0224277; 4.7639984; -5.7106508
8.5547007; 1.0099635; -2.6280897; -1.6022533; -0.0424327; 4.5192314; -4.3676127
8.7536473; 1.0027442; -2.8269021; -1.6125454; -0.0607144; 4.3226855; -3.3850921
8.9525938; 0.9931345; -3.0256121; -1.6262248; -0.0767308; 4.1639771; -2.4770403
9.1515403; 0.9804950; -3.2241518; -1.6430377; -0.0924351; 4.0438976; -1.9499869
9.3504869; 0.9642017; -3.4224245; -1.6630953; -0.1093062; 3.9467989; -1.7801721
9.5494334; 0.9435973; -3.6202947; -1.6865963; -0.1269731; 3.8560217; -1.6598772
9.7483799; 0.9180003; -3.8175804; -1.7136405; -0.1449946; 3.7694098; -1.5439809
9.9473264; 0.8867200; -4.0140445; -1.7443594; -0.1639068; 3.6870192; -1.4324781
10.1462730; 0.8490473; -4.2093823; -1.7789253; -0.1836149; 3.6088970; -1.3432757
10.3452195; 0.8042640; -4.4032125; -1.8174548; -0.2038387; 3.5340710; -1.2173148
10.5441660; 0.7516540; -4.5950641; -1.8601347; -0.2252688; 3.4648660; -1.0721475
10.7431126; 0.6905010; -4.7843621; -1.9071193; -0.2469994; 3.4027484; -0.9644229
10.9420591; 0.6201302; -4.9704269; -1.9583199; -0.2677195; 3.3458869; -0.8632836
11.1410056; 0.5399583; -5.1524800; -2.0135920; -0.2879884; 3.2941561; -0.7668796
11.3399521; 0.4494999; -5.3296422; -2.0728335; -0.3076055; 3.2475111; -0.7554141
11.5388987; 0.3483902; -5.5009443; -2.1357798; -0.3254312; 3.2008990; -0.7366371
11.7378452; 0.2364166; -5.6653445; -2.2022689; -0.3432512; 3.1547824; -0.6087139
11.9367917; 0.1135184; -5.8217408; -2.2718217; -0.3564476; 3.1161593; -0.6870422
12.1357383; -0.0201589; -5.9690308; -2.3442825; -0.3726661; 3.0719830; -0.7127735
12.3346848; -0.1643743; -6.1060165; -2.4200854; -0.3899226; 3.0254705; -0.6434669
12.5336313; -0.3187473; -6.2314398; -2.4989394; -0.4032867; 2.9828578; -0.7738188
12.7325778; -0.4826814; -6.3440694; -2.5808910; -0.4212788; 2.9307923; -0.8401099
12.9315244; -0.6554598; -6.4425748; -2.6666205; -0.4410534; 2.8731985; -0.8677202
13.1304709; -0.8361890; -6.5255647; -2.7562368; -0.4598597; 2.8124740; -1.4419238
13.3294174; -1.0237979; -6.5914943; -2.8528461; -0.5120938; 2.7085565; -1.0985534
13.5283640; -1.2171907; -6.6377066; -2.9646390; -0.6134515; 2.6266274; -0.0147713
13.7273105; -1.4147334; -6.6600715; -3.0963713; -0.7127764; 2.6255084; -0.0147588
13.9262570; -1.6134234; -6.6545371; 3.0384029; -0.7817807; 2.6243898; -0.0147462
14.1252036; -1.8088383; -6.6183818; 2.8767511; -0.8460576; 2.6232717; -0.0147336
14.3241501; -1.9952722; -6.5497109; 2.6963791; -0.9722743; 2.6221541; -0.0147211
14.5230966; -2.1653184; -6.4470605; 2.4990109; -1.0204089; 2.6210369; -0.0147085
14.7220431; -2.3120408; -6.3131433; 2.3086261; -0.9000530; 2.6199203; -0.0146960
14.9209897; -2.4328718; -6.1553711; 2.1452940; -0.7447973; 2.6188041; -0.0146960
15.1199362; -2.5290111; -5.9813700; 2.0102539; -0.6133791; 2.6176874; 1.1639516
15.3188827; -2.6028531; -5.7967636; 1.8944479; -0.5507991; 2.7047025; 1.2069770
15.5178293; -2.6559023; -5.6051207; 1.7883973; -0.5159006; 2.7920715; 0.8756918
15.7167758; -2.6890694; -5.4090376; 1.6895396; -0.4790811; 2.8537861; 0.8928630
15.9157223; -2.7034156; -5.2106737; 1.5974976; -0.4472486; 2.9153660; 0.8642955
16.1146688; -2.7000960; -5.0118110; 1.5117575; -0.4155034; 2.9737613; 0.9139972
16.3136154; -2.6804118; -4.8138902; 1.4327838; -0.3789813; 3.0342922; 1.1049593
16.5125619; -2.6459206; -4.6179983; 1.3616424; -0.3365088; 3.1058952; 1.4102124
16.7115084; -2.5984552; -4.4248297; 1.2997297; -0.2860952; 3.1949489; 1.8886791
16.9104550; -2.5400880; -4.2346613; 1.2479924; -0.2341435; 3.3104669; 2.3826346
17.1094015; -2.4728887; -4.0474229; 1.2059592; -0.1884289; 3.4506847; 2.7336547
17.3083480; -2.3987117; -3.8628314; 1.1729321; -0.1435445; 3.6048477; 3.2870391
17.5072945; -2.3193086; -3.6804225; 1.1491132; -0.0958408; 3.7819065; 4.3425492
17.7062411; -2.2364351; -3.4995608; 1.1347053; -0.0489619; 4.0038341; 5.2656485
17.9051876; -2.1517857; -3.3195217; 1.1293422; -0.0049411; 4.2574467; 4.1354331
18.1041341; -2.0669170; -3.1395857; 1.1320338; 0.0319766; 4.4464944; -4.0056922
18.3030807; -1.9831802; -2.9591210; 1.1418175; 0.0663817; 4.2635050; -0.9086209
18.5020272; -1.9018443; -2.7775632; 1.1586128; 0.1024875; 4.2208934; -0.0381445
18.7009737; -1.8242209; -2.5943899; 1.1824836; 0.1375143; 4.2190951; -0.0381120
18.8999202; -1.7516191; -2.4091721; 1.2130212; 0.1695206; 4.2172976; -0.0380795
19.0988668; -1.6853510; -2.2215995; 1.2506671; 0.2089675; 4.2155009; -0.0380471
19.2978133; -1.6269985; -2.0314221; 1.2971293; 0.2581262; 4.2137049; -0.0380147
19.4967598; -1.5785058; -1.8385035; 1.3536733; 0.3102846; 4.2119097; -0.0379823
19.6957064; -1.5419754; -1.6429764; 1.4200880; 0.3568998; 4.2101152; -0.0379499
19.8946529; -1.5190475; -1.4453955; 1.4901551; 0.3475707; 4.2083216; -0.0379176
20.0935994; -1.5096530; -1.2467059; 1.5557786; 0.3124360; 4.2065286; -0.0378853
20.2925459; -1.5126091; -1.0478093; 1.6143464; 0.2765651; 4.2047365; -0.0378530
20.4914925; -1.5265098; -0.8493710; 1.6659987; 0.2428362; 4.2029451; -0.0378208
20.6904390; -1.5499926; -0.6518323; 1.7112024; 0.2117251; 4.2011545; -0.0377886
20.8893855; -1.5818034; -0.4554587; 1.7507120; 0.1854551; 4.1993646; -0.0377564
21.0883321; -1.6208293; -0.2603874; 1.7848765; 0.1579783; 4.1975755; -0.0377242
21.2872786; -1.6659577; -0.0666341; 1.8134320; 0.1290976; 4.1957872; -0.0377242
21.4862251; -1.7160492; 0.1258982; 1.8362712; 0.1004351; 4.1939980; 1.1292321
21.6851716; -1.7699641; 0.3173968; 1.8531700; 0.0695333; 4.2472265; 3.6898140
21.8841182; -1.8265388; 0.5081276; 1.8641929; 0.0414263; 4.4166825; 5.2581991
22.0830647; -1.8847085; 0.6983793; 1.8700576; 0.0174512; 4.6475031; 1.7611179
22.2820112; -1.9435245; 0.8884327; 1.8709064; -0.0088922; 4.7222899; -6.6249540
22.4809578; -2.0020057; 1.0785892; 1.8665492; -0.0347557; 4.4344108; -4.9850136
22.6799043; -2.0591910; 1.2691394; 1.8574101; -0.0571576; 4.2048183; -3.4310645
22.8788508; -2.1141977; 1.4603294; 1.8436793; -0.0809534; 4.0392202; -2.5057316
23.0777974; -2.1661057; 1.6523821; 1.8250001; -0.1067416; 3.9138583; -2.1746400
23.2767439; -2.2139362; 1.8454890; 1.8014150; -0.1302725; 3.8017118; -2.1693622
23.4756904; -2.2567597; 2.0397659; 1.7733842; -0.1517584; 3.6864398; -1.8840083
23.6746369; -2.2936604; 2.2352515; 1.7404201; -0.1796968; 3.5833231; -1.5292884
23.8735835; -2.3235425; 2.4319286; 1.7017670; -0.2087621; 3.4973863; -1.4852618
24.0725300; -2.3452633; 2.6296701; 1.6578353; -0.2330141; 3.4118523; -1.3930885
24.2714765; -2.3577809; 2.8282026; 1.6087934; -0.2600729; 3.3296300; -1.3634867
24.4704231; -2.3600201; 3.0271120; 1.5544363; -0.2863135; 3.2471393; -1.1288350
24.6693696; -2.3509825; 3.2258243; 1.4956415; -0.3050484; 3.1772249; -1.3922511
24.8683161; -2.3298494; 3.4236116; 1.4321116; -0.3340331; 3.0888171; -1.4739082
25.0672626; -2.2955065; 3.6195291; 1.3607894; -0.3831817; 2.9923792; -1.2871830
25.2662092; -2.2463463; 3.8122507; 1.2796264; -0.4332184; 2.9055416; -0.9670188
25.4651557; -2.1807815; 4.0000104; 1.1883124; -0.4855560; 2.8385563; -0.9165939
25.6641022; -2.0975039; 4.1805967; 1.0877357; -0.5267402; 2.7735709; -0.1178464
25.8630488; -1.9960952; 4.3516554; 0.9838515; -0.5191657; 2.7651050; -0.4150953
26.0619953; -1.8775391; 4.5113076; 0.8800804; -0.5244594; 2.7350762; -0.0160163
26.2609418; -1.7425776; 4.6573285; 0.7661475; -0.6216660; 2.7339110; -0.0160026
26.4598883; -1.5907733; 4.7856986; 0.6353104; -0.6952641; 2.7327462; -0.0159890
26.6588349; -1.4227337; 4.8918690; 0.4888514; -0.7797913; 2.7315819; -0.0159754
26.8577814; -1.2403752; 4.9708505; 0.3258209; -0.8629978; 2.7304182; -0.0159618
27.0567279; -1.0472856; 5.0176712; 0.1475585; -0.9351691; 2.7292549; -0.0160026
27.2556745; -0.8489285; 5.0292245; -0.0277121; -0.8308541; 2.7280882; -0.0159346
