# 9ec8e6f5-1d37-48ec-a7c1-c90b7cb1befc
# e07e1e041103dab9400e26d1460cefc0ba05bc93
# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,ax_mps2
0.000000,-0.852928,5.125907,-1.617436,-0.263044,3.355342,0.788960
0.050000,-0.611465,5.090752,-1.810974,-0.247197,3.411411,1.075733
0.100000,-0.380480,5.011795,-1.985580,-0.216920,3.493277,1.822197
0.150000,-0.165382,4.896263,-2.138312,-0.189661,3.621193,2.347541
0.200000,0.031017,4.751102,-2.274262,-0.174924,3.777605,2.325415
0.250000,0.207007,4.581735,-2.397317,-0.154477,3.927111,2.687698
0.300000,0.362151,4.393051,-2.507912,-0.141916,4.090564,2.722380
0.350000,0.496595,4.189068,-2.607921,-0.127052,4.251871,2.961604
0.400000,0.611140,3.973262,-2.697749,-0.114289,4.419544,3.164290
0.450000,0.706943,3.748489,-2.778081,-0.101954,4.592471,3.416183
0.500000,0.785451,3.517093,-2.849446,-0.090363,4.772109,3.698247
0.550000,0.848250,3.280937,-2.912782,-0.079606,4.959252,4.001679
0.600000,0.896983,3.041473,-2.967000,-0.069569,5.154117,4.334574
0.650000,0.933287,2.799804,-3.016629,-0.060137,5.357200,4.701457
0.700000,0.958771,2.556750,-3.075349,-0.051189,5.569303,5.097342
0.750000,0.975018,2.312899,-2.942151,-0.042325,5.789648,5.240614
0.800000,0.983603,2.068653,-3.794430,-0.033739,6.006671,5.220318
0.850000,0.986087,1.824267,2.551790,-0.024839,6.215455,5.217423
0.900000,0.984110,1.579874,3.034786,-0.014134,6.417312,5.211786
0.950000,0.979639,1.335512,3.169251,-0.001566,6.612807,5.206278
1.000000,0.974649,1.091159,3.110286,0.001201,6.802487,5.200845
1.050000,0.969821,0.846803,3.123649,0.000904,6.986830,5.195396
1.100000,0.965161,0.602444,3.122874,0.000845,7.166247,5.189954
1.150000,0.960656,0.358083,3.123399,0.000800,7.341099,5.184463
1.200000,0.956294,0.113718,3.124038,0.000714,7.511703,5.179464
1.250000,0.952063,-0.130649,3.124529,0.000672,7.678356,5.172159
1.300000,0.947954,-0.375018,3.125024,0.000657,7.841272,5.170403
1.350000,0.943963,-0.619389,3.125495,0.000612,8.000615,5.186935
1.400000,0.940084,-0.863762,3.125946,0.000618,8.158054,4.925734
1.450000,0.936318,-1.108136,3.126434,0.000707,8.304388,6.282700
1.500000,0.932680,-1.352513,3.126996,0.000808,8.474691,-4.584268
1.550000,0.929189,-1.596891,3.127638,0.000936,8.314660,-9.969138
1.600000,0.925867,-1.841272,3.128362,0.000966,8.014933,-9.545148
1.650000,0.922591,-2.085654,3.127189,-0.005463,7.724849,-7.865781
1.700000,0.918295,-2.330019,3.119713,-0.014187,7.474109,-7.081876
1.750000,0.911482,-2.574325,3.107030,-0.019957,7.241132,-6.427233
1.800000,0.901067,-2.818506,3.090248,-0.025256,7.022461,-5.968144
1.850000,0.886098,-3.062451,3.069804,-0.029880,6.812854,-5.624487
1.900000,0.865740,-3.306006,3.046074,-0.034127,6.608868,-5.411294
1.950000,0.839243,-3.548970,3.019394,-0.037828,6.406197,-5.245546
2.000000,0.805941,-3.791091,2.989941,-0.041733,6.203497,-5.071024
2.050000,0.765161,-4.032060,2.957409,-0.046119,6.000996,-4.880892
2.100000,0.716156,-4.271484,2.921353,-0.051334,5.799807,-4.622191
2.150000,0.658060,-4.508860,2.880988,-0.057672,5.602639,-4.387655
2.200000,0.589866,-4.743528,2.835741,-0.064426,5.408894,-4.125465
2.250000,0.510519,-4.974657,2.785067,-0.072323,5.220318,-3.853999
2.300000,0.418875,-5.201188,2.728170,-0.081120,5.037930,-3.572571
2.350000,0.313750,-5.421778,2.664354,-0.090859,4.862781,-3.313350
2.400000,0.193983,-5.634766,2.593041,-0.101184,4.694524,-3.061499
2.450000,0.058544,-5.838133,2.513697,-0.112332,4.533441,-2.871096
2.500000,-0.093375,-6.029482,2.426064,-0.123277,4.376633,-2.666423
2.550000,-0.262219,-6.206056,2.329381,-0.136630,4.226630,-2.501235
2.600000,-0.448045,-6.364629,2.223837,-0.146188,4.078948,-2.615249
2.650000,-0.650045,-6.501972,2.110673,-0.156977,3.919497,-2.614481
2.700000,-0.866642,-6.614854,1.990711,-0.165627,3.750286,-2.593619
2.750000,-1.095658,-6.699689,1.856778,-0.193718,3.583830,-1.879967
2.800000,-1.334485,-6.750448,1.699814,-0.223264,3.456025,-1.174287
2.850000,-1.578370,-6.760443,1.519508,-0.254704,3.376402,-0.773243
2.900000,-1.819638,-6.724017,1.321096,-0.266086,3.320886,-0.424404
2.950000,-2.048825,-6.640277,1.118147,-0.275784,3.294970,-0.007829
3.000000,-2.255360,-6.510587,0.900179,-0.289145,3.293752,0.280557
3.050000,-2.429513,-6.339704,0.693906,-0.256017,3.320983,1.222361
3.100000,-2.567410,-6.138329,0.510155,-0.231733,3.413661,1.640639
3.150000,-2.668141,-5.915960,0.342930,-0.213165,3.530346,1.798675
3.200000,-2.732161,-5.680337,0.190133,-0.193972,3.653732,2.025166
3.250000,-2.761345,-5.437876,0.051750,-0.176017,3.788331,2.233945
3.300000,-2.758502,-5.193644,-0.072602,-0.156673,3.931340,2.568389
3.350000,-2.727216,-4.951372,-0.181558,-0.135390,4.090275,3.059420
3.400000,-2.671742,-4.713434,-0.273604,-0.111862,4.272591,3.738461
3.450000,-2.596705,-4.480891,-0.347570,-0.087101,4.485562,4.663467
3.500000,-2.506794,-4.253672,-0.402970,-0.062608,4.736754,5.245918
3.550000,-2.406299,-4.030922,-0.442303,-0.043730,5.000368,5.239971
3.600000,-2.298627,-3.811536,-0.467901,-0.025260,5.250211,5.254068
3.650000,-2.186860,-3.594203,-0.479901,-0.007568,5.489241,5.183413
3.700000,-2.073835,-3.377507,-0.479701,0.008087,5.716422,5.344299
3.750000,-1.962109,-3.160133,-0.467942,0.023372,5.933002,0.720858
3.800000,-1.854117,-2.940871,-0.445756,0.036425,5.920986,-6.098201
3.850000,-1.752091,-2.718772,-0.413799,0.049994,5.675105,-4.213136
3.900000,-1.658375,-2.493056,-0.371545,0.063908,5.491911,-3.507185
3.950000,-1.575465,-2.263165,-0.318972,0.078021,5.338027,-2.441257
4.000000,-1.506041,-2.028868,-0.255115,0.094477,5.231009,-0.889232
4.050000,-1.453337,-1.790278,-0.176981,0.115707,5.196476,-0.002647
4.100000,-1.420896,-1.548122,-0.089024,0.117977,5.195498,0.290332
4.150000,-1.409384,-1.304059,-0.007217,0.102068,5.214141,1.500935
