# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,vy_mps,r_radps
0.000000,-0.852928,5.125907,-0.046640,-0.263044,3.355342,-0.903539,-2.823559
0.050000,-0.687450,5.072958,-0.187818,-0.247197,3.411411,-0.860898,-2.690307
0.100000,-0.527916,4.998822,-0.322333,-0.216920,3.493277,-0.769875,-2.405859
0.150000,-0.374441,4.906980,-0.442626,-0.189661,3.621193,-0.695156,-2.172361
0.200000,-0.225718,4.798022,-0.551244,-0.174924,3.777605,-0.667619,-2.086309
0.250000,-0.082299,4.670660,-0.655559,-0.154477,3.927111,-0.611520,-1.911001
0.300000,0.054714,4.526723,-0.751109,-0.141916,4.090564,-0.584444,-1.826387
0.350000,0.184268,4.365784,-0.842429,-0.127052,4.251871,-0.543135,-1.697296
0.400000,0.305515,4.189056,-0.927294,-0.114289,4.419544,-0.507318,-1.585369
0.450000,0.417809,3.997055,-1.006562,-0.101954,4.592471,-0.469848,-1.468274
0.500000,0.520754,3.790460,-1.079976,-0.090363,4.772109,-0.432400,-1.351249
0.550000,0.614153,3.569833,-1.147538,-0.079606,4.959252,-0.395622,-1.236319
0.600000,0.697964,3.335627,-1.209354,-0.069569,5.154117,-0.359147,-1.122336
0.650000,0.772297,3.088222,-1.265471,-0.060137,5.357200,-0.322555,-1.007983
0.700000,0.837435,2.827902,-1.315870,-0.051189,5.569303,-0.285338,-0.891682
0.750000,0.893851,2.554839,-1.360454,-0.042325,5.789648,-0.245196,-0.766237
0.800000,0.942304,2.269177,-1.398766,-0.033739,6.006671,-0.202736,-0.633550
0.850000,0.983729,1.971541,-1.430444,-0.024839,6.215455,-0.154417,-0.482554
0.900000,1.019559,1.662744,-1.454571,-0.014134,6.417312,-0.090708,-0.283464
0.950000,1.052262,1.343518,-1.468744,-0.001566,6.612807,-0.010358,-0.032369
1.000000,1.085431,1.014545,-1.470363,0.001201,6.802487,0.008167,0.025522
1.050000,1.119940,0.676175,-1.469087,0.000904,6.986830,0.006313,0.019727
1.100000,1.155724,0.328671,-1.468100,0.000845,7.166247,0.006059,0.018933
1.150000,1.192758,-0.027722,-1.467154,0.000800,7.341099,0.005876,0.018362
1.200000,1.231025,-0.392777,-1.466236,0.000714,7.511703,0.005365,0.016765
1.250000,1.270491,-0.766283,-1.465397,0.000672,7.678356,0.005163,0.016134
1.300000,1.311138,-1.148043,-1.464591,0.000657,7.841272,0.005151,0.016098
1.350000,1.352955,-1.537870,-1.463786,0.000612,8.000615,0.004894,0.015295
1.400000,1.395924,-1.935587,-1.463021,0.000618,8.158054,0.005040,0.015751
1.450000,1.440052,-2.341096,-1.462234,0.000707,8.304388,0.005873,0.018354
1.500000,1.485332,-2.753839,-1.461316,0.000808,8.474691,0.006847,0.021396
1.550000,1.531971,-3.174999,-1.460246,0.000936,8.314660,0.007780,0.024314
1.600000,1.578223,-3.588151,-1.459030,0.000966,8.014933,0.007740,0.024186
1.650000,1.623304,-3.986354,-1.457821,-0.005463,7.724849,-0.042201,-0.131879
1.700000,1.664751,-4.370373,-1.464415,-0.014187,7.474109,-0.106041,-0.331377
1.750000,1.699159,-4.742528,-1.480984,-0.019957,7.241132,-0.144527,-0.451647
1.800000,1.724436,-5.103774,-1.503566,-0.025256,7.022461,-0.177400,-0.554375
1.850000,1.739174,-5.454700,-1.531285,-0.029880,6.812854,-0.203632,-0.636349
1.900000,1.742456,-5.795479,-1.563102,-0.034127,6.608868,-0.225630,-0.705095
1.950000,1.733717,-6.125999,-1.598357,-0.037828,6.406197,-0.242452,-0.757662
2.000000,1.712772,-6.445853,-1.636240,-0.041733,6.203497,-0.259041,-0.809504
2.050000,1.679563,-6.754517,-1.676715,-0.046119,6.000996,-0.276955,-0.865485
2.100000,1.634072,-7.051421,-1.719990,-0.051334,5.799807,-0.297992,-0.931224
2.150000,1.576233,-7.335976,-1.766551,-0.057672,5.602639,-0.323472,-1.010850
2.200000,1.505881,-7.607611,-1.817093,-0.064426,5.408894,-0.348957,-1.090489
