time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.850047,5.024163,-0.062169,-0.881476,2.029242,0.916769
0.050000,-0.681145,5.001634,-0.198226,-0.732910,2.095195,1.942218
0.100000,-0.516610,4.958101,-0.316799,-0.650834,2.244434,1.797096
0.150000,-0.357874,4.896268,-0.424978,-0.613646,2.381390,1.282463
0.200000,-0.206437,4.818192,-0.526241,-0.577682,2.473371,1.155265
0.250000,-0.063375,4.725625,-0.620996,-0.533967,2.550398,1.301468
0.300000,0.070706,4.620368,-0.709252,-0.500394,2.636195,1.291778
0.350000,0.195314,4.504088,-0.791437,-0.465040,2.718033,1.395247
0.400000,0.310313,4.378322,-0.867765,-0.431464,2.803516,1.505329
0.450000,0.415770,4.244406,-0.938897,-0.402906,2.893262,1.549985
0.500000,0.511784,4.103558,-1.005315,-0.376722,2.983049,1.600474
0.550000,0.598554,3.956841,-1.067420,-0.352217,3.072798,1.665411
0.600000,0.676360,3.805174,-1.125540,-0.329610,3.163593,1.731532
0.650000,0.745524,3.649372,-1.179859,-0.307722,3.255177,1.825562
0.700000,0.806421,3.490156,-1.230509,-0.286453,3.348949,1.944220
0.750000,0.859472,3.328156,-1.277554,-0.265425,3.445914,2.095259
0.800000,0.905140,3.163922,-1.321022,-0.244461,3.547346,2.282197
0.850000,0.943925,2.997927,-1.360906,-0.223456,3.654535,2.511491
0.900000,0.976360,2.830574,-1.397217,-0.202293,3.768876,2.782574
0.950000,1.003006,2.662202,-1.429847,-0.180974,3.891589,3.123385
1.000000,1.024445,2.493090,-1.458946,-0.159469,4.024626,3.478444
1.050000,1.041281,2.323456,-1.484283,-0.137809,4.168509,3.715017
1.100000,1.054126,2.153465,-1.505202,-0.116609,4.316875,4.051697
1.150000,1.063590,1.983259,-1.527405,-0.094746,4.472447,4.613846
1.200000,1.070306,1.812924,-1.525776,-0.072786,4.643094,5.112996
1.250000,1.074906,1.642514,-1.585308,-0.053238,4.826248,5.278142
1.300000,1.077951,1.472072,-1.473665,-0.038915,5.009382,5.239701
1.350000,1.079854,1.301621,-1.666230,-0.031582,5.184611,5.243274
1.400000,1.080826,1.131155,-1.778740,-0.029715,5.354239,5.238774
1.450000,1.080935,0.960688,-2.631877,-0.027170,5.518531,5.234519
1.500000,1.080255,0.790222,-1.103553,-0.024319,5.677932,5.231052
1.550000,1.078868,0.619759,-1.748767,-0.021697,5.832882,5.226939
1.600000,1.076850,0.449299,-1.535790,-0.019075,5.983703,5.223630
1.650000,1.074278,0.278846,-1.598300,-0.016508,6.130719,5.218701
1.700000,1.071226,0.108402,-1.588673,-0.013955,6.274172,5.216475
1.750000,1.067769,-0.062028,-1.591662,-0.011296,6.414315,5.214351
1.800000,1.063984,-0.232457,-1.594223,-0.008747,6.551509,5.187136
1.850000,1.059944,-0.402882,-1.594915,-0.006218,6.684995,5.296517
1.900000,1.055724,-0.573300,-1.596003,-0.003672,6.818820,4.882112
1.950000,1.051398,-0.743714,-1.596331,-0.001137,6.940541,6.091153
2.000000,1.047038,-0.914128,-1.596334,0.001314,7.083278,3.201794
2.050000,1.042716,-1.084545,-1.595909,0.003598,7.185971,-7.499883
2.100000,1.038498,-1.254963,-1.595110,0.005837,7.013167,-8.249544
2.150000,1.034450,-1.425382,-1.593910,0.008178,6.807103,-7.648486
2.200000,1.030639,-1.595811,-1.592330,0.010409,6.612828,-7.629287
2.250000,1.027132,-1.766246,-1.590361,0.012473,6.412686,-7.385162
2.300000,1.023985,-1.936681,-1.588130,0.012420,6.213205,-7.842533
2.350000,1.021189,-2.107114,-1.586393,0.006598,5.996946,-8.515052
2.400000,1.018569,-2.277551,-1.586270,-0.005142,5.748660,-7.757788
2.450000,1.015797,-2.448001,-1.588193,-0.017414,5.511228,-6.811410
2.500000,1.012520,-2.618438,-1.592200,-0.029954,5.293936,-5.959477
2.550000,1.008371,-2.788857,-1.598480,-0.044201,5.096101,-5.147451
2.600000,1.002931,-2.959240,-1.607403,-0.060774,4.918641,-4.433083
2.650000,0.995723,-3.129552,-1.619293,-0.078686,4.760668,-3.884861
2.700000,0.986231,-3.299753,-1.634230,-0.096407,4.618070,-3.469155
2.750000,0.973944,-3.469781,-1.652122,-0.113574,4.486988,-3.122523
2.800000,0.958369,-3.639535,-1.672961,-0.130892,4.365753,-2.852157
2.850000,0.939009,-3.808897,-1.696747,-0.148126,4.252191,-2.666763
2.900000,0.915380,-3.977719,-1.723450,-0.165010,4.143446,-2.548037
2.950000,0.887014,-4.145809,-1.752971,-0.181385,4.036752,-2.353838
3.000000,0.853465,-4.312938,-1.785281,-0.197606,3.935134,-2.128616
3.050000,0.814308,-4.478843,-1.820327,-0.213363,3.841255,-1.991089
3.100000,0.769147,-4.643222,-1.857928,-0.227876,3.751338,-1.855065
3.150000,0.717637,-4.805718,-1.898030,-0.242650,3.665532,-1.726012
3.200000,0.659449,-4.965944,-1.940697,-0.257896,3.583923,-1.631352
3.250000,0.594280,-5.123453,-1.985930,-0.272875,3.505171,-1.566758
3.300000,0.521863,-5.277754,-2.033687,-0.287607,3.427888,-1.509697
3.350000,0.441973,-5.428317,-2.084002,-0.302810,3.351745,-1.474996
3.400000,0.354422,-5.574555,-2.136951,-0.318557,3.275851,-1.473948
3.450000,0.259061,-5.715833,-2.192568,-0.334277,3.198219,-1.471101
3.500000,0.155801,-5.851453,-2.250999,-0.351327,3.118824,-1.453021
3.550000,0.044631,-5.980608,-2.312642,-0.372268,3.037996,-1.367676
3.600000,-0.074529,-6.102502,-2.377408,-0.387450,2.960164,-1.424373
3.650000,-0.201496,-6.216260,-2.445302,-0.409474,2.877552,-1.476604
3.700000,-0.336066,-6.320840,-2.517441,-0.439239,2.788459,-1.442260
3.750000,-0.478099,-6.415087,-2.594787,-0.466901,2.698825,-1.330476
3.800000,-0.627211,-6.497718,-2.677523,-0.506776,2.611464,-1.032839
3.850000,-0.782849,-6.567147,-2.767748,-0.552787,2.542898,-1.012145
3.900000,-0.944324,-6.621618,-2.865820,-0.593023,2.472767,-0.634924
3.950000,-1.110493,-6.659517,-2.969079,-0.603787,2.426435,-0.536967
4.000000,-1.279682,-6.680131,-3.071722,-0.599368,2.390502,-1.019215
4.050000,-1.450084,-6.683347,3.109181,-0.614728,2.320633,-1.523581
4.100000,-1.619816,-6.668683,3.000015,-0.672980,2.207269,-1.404770
4.150000,-1.786561,-6.634683,2.877831,-0.778914,2.090706,-0.563887
4.200000,-1.947382,-6.578988,2.735613,-0.894031,2.038901,-0.029757
4.250000,-2.097964,-6.499343,2.572595,-0.965747,2.035754,-0.087549
4.300000,-2.233461,-6.396131,2.409149,-0.925085,2.027726,0.495604
4.350000,-2.351126,-6.272938,2.260108,-0.826762,2.061301,1.207961
4.400000,-2.450292,-6.134411,2.126372,-0.744453,2.158142,1.321311
4.450000,-2.531111,-5.984442,2.005960,-0.667704,2.259322,1.468279
4.500000,-2.594367,-5.826258,1.898543,-0.591888,2.366225,1.702867
4.550000,-2.641377,-5.662517,1.804233,-0.522193,2.484370,1.930340
4.600000,-2.673636,-5.495224,1.719840,-0.471537,2.612840,1.936067
4.650000,-2.692343,-5.325851,1.642853,-0.432867,2.736795,1.879167
4.700000,-2.698506,-5.155534,1.572047,-0.399170,2.851458,1.868298
4.750000,-2.693064,-4.985166,1.506521,-0.370114,2.961102,1.868260
4.800000,-2.676878,-4.815456,1.445636,-0.343746,3.066693,1.897826
4.850000,-2.650775,-4.646994,1.389202,-0.318814,3.170183,1.968146
4.900000,-2.615559,-4.480206,1.336916,-0.294539,3.273880,2.085450
4.950000,-2.572005,-4.315381,1.288712,-0.268774,3.380027,2.295357
5.000000,-2.520962,-4.152738,1.245549,-0.236134,3.492477,2.783846
5.050000,-2.463433,-3.992289,1.208604,-0.197470,3.623009,3.462434
5.100000,-2.400531,-3.833846,1.178262,-0.158857,3.779842,4.360407
5.150000,-2.333353,-3.677158,1.154294,-0.122350,3.967107,5.081433
