# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.095075,8.250606,-3.118376,1.063170,0.917596,-0.002733
0.050000,-0.189912,8.243524,-3.020003,1.001150,0.909716,0.182802
0.100000,-0.283739,8.227060,-2.917056,1.051855,0.916090,0.021000
0.150000,-0.375383,8.201129,-2.811096,1.140202,0.923785,-0.172176
0.200000,-0.463670,8.165650,-2.703686,1.191108,0.919870,-0.080760
0.250000,-0.547491,8.120658,-2.596692,1.142496,0.898090,0.505224
0.300000,-0.626183,8.067052,-2.494231,1.027556,0.901117,1.019330
0.350000,-0.699317,8.006103,-2.401003,0.916857,0.982974,0.680854
0.400000,-0.766798,7.938949,-2.317474,0.830372,1.091916,0.041184
0.450000,-0.828729,7.866639,-2.241689,0.758697,1.123496,0.322161
0.500000,-0.885264,7.790033,-2.172398,0.695728,1.105248,1.179731
0.550000,-0.936597,7.709843,-2.108913,0.638299,1.159649,1.144150
0.600000,-0.982950,7.626675,-2.050538,0.586587,1.283128,0.269734
0.650000,-1.024575,7.541033,-1.996572,0.543841,1.348791,0.101562
0.700000,-1.061709,7.453350,-1.946541,0.507925,1.333518,0.937623
0.750000,-1.094569,7.363973,-1.900271,0.469734,1.351775,1.423090
0.800000,-1.123424,7.273225,-1.857938,0.423563,1.449562,1.100837
0.850000,-1.148630,7.181393,-1.820262,0.370066,1.545259,1.170208
0.900000,-1.170597,7.088738,-1.787957,0.310219,1.597022,2.203030
0.950000,-1.189841,6.995475,-1.761625,0.244393,1.674935,3.077439
1.000000,-1.206917,6.901796,-1.741802,0.173203,1.826924,2.779024
1.050000,-1.222460,6.807846,-1.728895,0.098176,1.995511,1.235280
1.100000,-1.237125,6.713756,-1.723205,0.021202,2.110079,-1.206381
1.150000,-1.251595,6.619635,-1.724733,-0.055059,2.121576,-3.230373
1.200000,-1.266552,6.525589,-1.733387,-0.128322,2.002553,-3.619626
1.250000,-1.282647,6.431735,-1.748970,-0.199200,1.810422,-2.865484
1.300000,-1.300514,6.338199,-1.771241,-0.268804,1.623368,-1.925468
1.350000,-1.320754,6.245153,-1.799879,-0.335247,1.473694,-1.169995
1.400000,-1.343940,6.152794,-1.834507,-0.395556,1.372091,-0.699449
1.450000,-1.370558,6.061369,-1.874549,-0.448731,1.310008,-0.431559
1.500000,-1.401037,5.971159,-1.919354,-0.495259,1.269064,-0.196102
1.550000,-1.435739,5.882490,-1.968793,-0.540833,1.243762,-0.018487
1.600000,-1.474972,5.795727,-2.023060,-0.593908,1.237490,-0.052448
1.650000,-1.518985,5.711291,-2.081213,-0.641208,1.240531,-0.127964
1.700000,-1.567962,5.629655,-2.141211,-0.649584,1.231488,0.218744
1.750000,-1.621799,5.551123,-2.200572,-0.612403,1.220638,0.910927
1.800000,-1.680042,5.475794,-2.256340,-0.556389,1.257022,1.203503
1.850000,-1.742194,5.403661,-2.306751,-0.500459,1.348227,0.911210
1.900000,-1.807727,5.334573,-2.351981,-0.447837,1.432252,0.802875
1.950000,-1.876148,5.268349,-2.392353,-0.399177,1.477879,1.267247
2.000000,-1.947046,5.204775,-2.428131,-0.352691,1.530920,1.724528
2.050000,-2.020037,5.143619,-2.459509,-0.306702,1.624839,1.823535
2.100000,-2.094785,5.084616,-2.486507,-0.260672,1.732611,2.175750
2.150000,-2.170972,5.027486,-2.509108,-0.214256,1.831495,3.160635
2.200000,-2.248309,4.971919,-2.527249,-0.167113,1.952533,3.698094
2.250000,-2.326517,4.917588,-2.540850,-0.118904,2.122570,2.654585
2.300000,-2.405333,4.864142,-2.549788,-0.069326,2.286335,0.296033
2.350000,-2.484499,4.811215,-2.553942,-0.018296,2.368282,-2.568625
2.400000,-2.563757,4.758429,-2.553293,0.032806,2.327149,-4.389025
2.450000,-2.642848,4.705396,-2.547819,0.082737,2.147669,-3.599253
2.500000,-2.721503,4.651720,-2.537092,0.137047,1.924663,-1.312268
2.550000,-2.799438,4.596999,-2.520531,0.203395,1.802222,0.061970
2.600000,-2.876317,4.540807,-2.498498,0.268863,1.789304,0.124519
2.650000,-2.951768,4.482718,-2.472057,0.307128,1.801550,-0.119967
2.700000,-3.025552,4.422519,-2.442941,0.314000,1.800399,-0.133664
2.750000,-3.097550,4.360197,-2.413460,0.305628,1.791166,0.160311
2.800000,-3.167706,4.295807,-2.384911,0.293503,1.786348,0.605202
2.850000,-3.236034,4.229479,-2.357371,0.282667,1.804730,0.792997
2.900000,-3.302546,4.161332,-2.330767,0.275118,1.847426,0.609323
2.950000,-3.367246,4.091461,-2.304905,0.268752,1.887955,0.411713
3.000000,-3.430138,4.019959,-2.279648,0.262068,1.911092,0.418335
3.050000,-3.491227,3.946910,-2.254996,0.255467,1.928865,0.487662
3.100000,-3.550520,3.872396,-2.230951,0.249373,1.951587,0.494977
3.150000,-3.608027,3.796494,-2.207478,0.243661,1.976415,0.473673
3.200000,-3.663756,3.719278,-2.184538,0.238162,1.999572,0.468673
3.250000,-3.717720,3.640818,-2.162109,0.232872,2.021576,0.474267
3.300000,-3.769931,3.561180,-2.140173,0.227815,2.043640,0.476570
3.350000,-3.820402,3.480429,-2.118710,0.222969,2.065757,0.475993
3.400000,-3.869147,3.398623,-2.097699,0.218307,2.087605,0.476601
3.450000,-3.916180,3.315822,-2.077124,0.213812,2.109187,0.478676
3.500000,-3.961518,3.232081,-2.056970,0.209473,2.130627,0.481110
3.550000,-4.005176,3.147451,-2.037222,0.205278,2.151965,0.483767
3.600000,-4.047172,3.061984,-2.017868,0.201213,2.173199,0.487000
3.650000,-4.087522,2.975728,-1.998895,0.197267,2.194350,0.490938
3.700000,-4.126245,2.888729,-1.980293,0.193429,2.215452,0.495560
3.750000,-4.163358,2.801032,-1.962052,0.189688,2.236536,0.500890
3.800000,-4.198882,2.712678,-1.944162,0.186036,2.257630,0.506998
3.850000,-4.232835,2.623709,-1.926617,0.182463,2.278766,0.513959
3.900000,-4.265236,2.534163,-1.909409,0.178961,2.299976,0.521849
3.950000,-4.296107,2.444078,-1.892531,0.175520,2.321294,0.530734
4.000000,-4.325469,2.353490,-1.875978,0.172134,2.342756,0.540667
4.050000,-4.353341,2.262432,-1.859744,0.168795,2.364400,0.551721
4.100000,-4.379746,2.170938,-1.843830,0.165497,2.386263,0.564010
4.150000,-4.404706,2.079039,-1.828230,0.162231,2.408385,0.577653
4.200000,-4.428243,1.986766,-1.812930,0.158992,2.430810,0.592778
4.250000,-4.450381,1.894146,-1.797927,0.155773,2.453584,0.609437
4.300000,-4.471142,1.801209,-1.783260,0.152575,2.476757,0.627415
4.350000,-4.490551,1.707980,-1.768944,0.149392,2.500376,0.646751
4.400000,-4.508632,1.614483,-1.754835,0.146203,2.524473,0.668872
4.450000,-4.525409,1.520745,-1.740839,0.142990,2.549088,0.694877
4.500000,-4.540908,1.426786,-1.727438,0.139793,2.574348,0.721382
4.550000,-4.555155,1.332629,-1.715089,0.136659,2.600384,0.744533
4.600000,-4.568176,1.238295,-1.702209,0.133509,2.627090,0.770906
4.650000,-4.579996,1.143804,-1.686789,0.130216,2.654280,0.811021
4.700000,-4.590644,1.049172,-1.673880,0.126825,2.682270,0.860099
4.750000,-4.600148,0.954419,-1.671803,0.123491,2.711667,0.903798
4.800000,-4.608537,0.859561,-1.665079,0.120293,2.742501,0.936329
4.850000,-4.615839,0.764612,-1.620780,0.117241,2.774306,0.959643
4.900000,-4.622081,0.669589,-1.583908,0.114229,2.806689,0.984573
4.950000,-4.627288,0.574503,-1.680738,0.111035,2.839362,1.031180
5.000000,-4.631490,0.479368,-1.790353,0.107571,2.872600,1.105786
5.050000,-4.634718,0.384195,-1.440581,0.103952,2.907468,1.194456
5.100000,-4.637003,0.288994,-0.913476,0.100304,2.944717,1.283890
5.150000,-4.638379,0.193776,-1.940039,0.096736,2.984399,1.364887
5.200000,-4.638877,0.098549,1.152391,0.093269,3.026349,1.437751
5.250000,-4.638530,0.003321,-1.686175,0.089705,3.070057,1.524943
5.300000,-4.637369,-0.091900,-2.178803,0.085895,3.115291,1.643161
5.350000,-4.635430,-0.187108,-1.561974,0.081958,3.162903,1.779497
5.400000,-4.632748,-0.282298,-1.363316,0.078060,3.213770,1.916024
5.450000,-4.629357,-0.377467,-1.512412,0.074332,3.267903,2.039185
5.500000,-4.625294,-0.472608,-1.573009,0.070853,3.325009,2.142320
5.550000,-4.620588,-0.567720,-1.527679,0.067424,3.384370,2.252424
5.600000,-4.615272,-0.662799,-1.498834,0.063783,3.445289,2.404200
5.650000,-4.609379,-0.757845,-1.502124,0.059944,3.508465,2.595296
5.700000,-4.602943,-0.852855,-1.503854,0.056049,3.575206,2.807263
5.750000,-4.596001,-0.947829,-1.496659,0.052116,3.646079,3.042065
5.800000,-4.588587,-1.042768,-1.489637,0.048093,3.721199,3.313515
5.850000,-4.580738,-1.137672,-1.485661,0.043995,3.801034,3.616953
5.900000,-4.572492,-1.232543,-1.482343,0.039899,3.886330,3.933627
5.950000,-4.563885,-1.327381,-1.478669,0.035864,3.977349,4.275896
6.000000,-4.554955,-1.422190,-1.475242,0.031931,4.073853,4.687019
6.050000,-4.545736,-1.516970,-1.472392,0.028075,4.176327,5.096186
6.100000,-4.536264,-1.611726,-1.469964,0.024179,4.286243,5.276004
6.150000,-4.526573,-1.706460,-1.467854,0.020170,4.401760,5.214115
6.200000,-4.516702,-1.801175,-1.466110,0.016066,4.514982,5.302343
6.250000,-4.506685,-1.895874,-1.464775,0.011899,4.622409,5.581403
6.300000,-4.496560,-1.990563,-1.463845,0.007715,4.732356,5.167195
6.350000,-4.486366,-2.085244,-1.463309,0.003556,4.846301,3.338488
6.400000,-4.476140,-2.179921,-1.463166,-0.000562,4.939039,0.298861
6.450000,-4.465920,-2.274599,-1.463414,-0.004638,4.982433,-3.334050
