# 3b86cff9-5efe-4b6f-aa4b-47561fb476a8
# 7bf03786620c2a15193901b17e8495070d4e7a42
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0950754; 8.2506061; -3.1183761; 1.0631701; 0.0000000; 0.0000000
0.1998487; -0.2928933; 8.2249244; -2.9067143; 1.0601168; 0.0000000; 0.0000000
0.3996973; -0.4805871; 8.1575173; -2.6824630; 1.1902351; 0.0000000; 0.0000000
0.5995460; -0.6484141; 8.0497283; -2.4655352; 0.9919098; 0.0000000; 0.0000000
0.7993946; -0.7918854; 7.9109839; -2.2867513; 0.8008159; 0.0000000; 0.0000000
0.9992433; -0.9112145; 7.7508950; -2.1404093; 0.6668644; 0.0000000; 0.0000000
1.1990919; -1.0081364; 7.5762650; -2.0181143; 0.5600533; 0.0000000; 0.0000000
1.3989406; -1.0848375; 7.3918079; -1.9142029; 0.4823498; 0.0000000; 0.0000000
1.5987892; -1.1435969; 7.2008470; -1.8277865; 0.3819036; 0.0000000; 0.0000000
1.7986379; -1.1877972; 7.0059813; -1.7642684; 0.2520803; 0.0000000; 0.0000000
1.9984865; -1.2222535; 6.8091405; -1.7290240; 0.0992277; 0.0000000; 0.0000000
2.1983352; -1.2528357; 6.6116500; -1.7251928; -0.0614058; 0.0000000; 0.0000000
2.3981838; -1.2857738; 6.4145449; -1.7525629; -0.2120667; 0.0000000; 0.0000000
2.5980325; -1.3269732; 6.2190196; -1.8090604; -0.3529817; 0.0000000; 0.0000000
2.7978811; -1.3816844; 6.0268648; -1.8910735; -0.4671242; 0.0000000; 0.0000000
2.9977298; -1.4539616; 5.8406391; -1.9942065; -0.5651187; 0.0000000; 0.0000000
3.1975784; -1.5466787; 5.6637383; -2.1158031; -0.6526619; 0.0000000; 0.0000000
3.3974271; -1.6607533; 5.4998010; -2.2388700; -0.5748833; 0.0000000; 0.0000000
3.5972757; -1.7927291; 5.3498458; -2.3422473; -0.4592881; 0.0000000; 0.0000000
3.7971244; -1.9379791; 5.2126572; -2.4238616; -0.3585078; 0.0000000; 0.0000000
3.9969730; -2.0927060; 5.0862142; -2.4858227; -0.2619427; 0.0000000; 0.0000000
4.1968217; -2.2538425; 4.9680198; -2.5283666; -0.1637246; 0.0000000; 0.0000000
4.3966703; -2.4187509; 4.8551331; -2.5508320; -0.0607542; 0.0000000; 0.0000000
4.5965190; -2.5850067; 4.7442389; -2.5523042; 0.0462761; 0.0000000; 0.0000000
