time_s,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.000000,-5.125907,-0.852928,-0.046640,-0.816011,3.355342,0.788960
0.050000,-5.090752,-0.611465,-0.240178,-0.764778,3.411411,1.075733
0.100000,-5.011795,-0.380480,-0.414783,-0.667784,3.493277,1.822197
0.150000,-4.896263,-0.165382,-0.567516,-0.581764,3.621193,2.347541
0.200000,-4.751102,0.031017,-0.703465,-0.535538,3.777605,2.325415
0.250000,-4.581735,0.207007,-0.826521,-0.471861,3.927111,2.687698
0.300000,-4.393051,0.362151,-0.937116,-0.432970,4.090564,2.722380
0.350000,-4.189068,0.496595,-1.037125,-0.387086,4.251871,2.961604
0.400000,-3.973262,0.611140,-1.126953,-0.347849,4.419544,3.164290
0.450000,-3.748489,0.706943,-1.207284,-0.310025,4.592471,3.416183
0.500000,-3.517093,0.785451,-1.278649,-0.274575,4.772109,3.698247
0.550000,-3.280937,0.848250,-1.341985,-0.241741,4.959252,4.001679
0.600000,-3.041473,0.896983,-1.396204,-0.211157,5.154117,4.334574
0.650000,-2.799804,0.933287,-1.445833,-0.182453,5.357200,4.701457
0.700000,-2.556750,0.958771,-1.504553,-0.155255,5.569303,5.097342
0.750000,-2.312899,0.975018,-1.371355,-0.128336,5.789648,5.240614
0.800000,-2.068653,0.983603,-2.223634,-0.102278,6.006671,5.220318
0.850000,-1.824267,0.986087,-2.160599,-0.075285,6.215455,5.217423
0.900000,-1.579874,0.984110,-1.677603,-0.042833,6.417312,5.211786
0.950000,-1.335512,0.979639,-1.543138,-0.004746,6.612807,5.206278
1.000000,-1.091159,0.974649,-1.602103,0.003638,6.802487,5.200845
1.050000,-0.846803,0.969821,-1.588740,0.002738,6.986830,5.195396
1.100000,-0.602444,0.965161,-1.589515,0.002562,7.166247,5.189954
1.150000,-0.358083,0.960656,-1.588990,0.002425,7.341099,5.184463
1.200000,-0.113718,0.956294,-1.588351,0.002164,7.511703,5.179464
1.250000,0.130649,0.952063,-1.587860,0.002038,7.678356,5.172159
1.300000,0.375018,0.947954,-1.587365,0.001991,7.841272,5.170403
1.350000,0.619389,0.943963,-1.586894,0.001854,8.000615,5.186935
1.400000,0.863762,0.940084,-1.586443,0.001872,8.158054,4.925734
1.450000,1.108136,0.936318,-1.585955,0.002143,8.304388,6.282700
1.500000,1.352513,0.932680,-1.585393,0.002448,8.474691,-4.584268
1.550000,1.596891,0.929189,-1.584751,0.002836,8.314660,-9.969138
1.600000,1.841272,0.925867,-1.584027,0.002926,8.014933,-9.545148
1.650000,2.085654,0.922591,-1.585200,-0.016555,7.724849,-7.865781
1.700000,2.330019,0.918295,-1.592676,-0.042993,7.474109,-7.081876
1.750000,2.574325,0.911482,-1.605359,-0.060482,7.241132,-6.427233
1.800000,2.818506,0.901067,-1.622141,-0.076551,7.022461,-5.968144
1.850000,3.062451,0.886098,-1.642585,-0.090574,6.812854,-5.624487
1.900000,3.306006,0.865740,-1.666315,-0.103456,6.608868,-5.411294
1.950000,3.548970,0.839243,-1.692995,-0.114686,6.406197,-5.245546
2.000000,3.791091,0.805941,-1.722448,-0.126537,6.203497,-5.071024
2.050000,4.032060,0.765161,-1.754980,-0.139853,6.000996,-4.880892
2.100000,4.271484,0.716156,-1.791036,-0.155696,5.799807,-4.622191
2.150000,4.508860,0.658060,-1.831401,-0.174957,5.602639,-4.387655
2.200000,4.743528,0.589866,-1.876648,-0.195501,5.408894,-4.125465
2.250000,4.974657,0.510519,-1.927322,-0.219544,5.220318,-3.853999
2.300000,5.201188,0.418875,-1.984219,-0.246358,5.037930,-3.572571
2.350000,5.421778,0.313750,-2.048035,-0.276091,4.862781,-3.313350
2.400000,5.634766,0.193983,-2.119348,-0.307669,4.694524,-3.061499
2.450000,5.838133,0.058544,-2.198692,-0.341840,4.533441,-2.871096
2.500000,6.029482,-0.093375,-2.286325,-0.375468,4.376633,-2.666423
2.550000,6.206056,-0.262219,-2.383008,-0.416633,4.226630,-2.501235
2.600000,6.364629,-0.448045,-2.488552,-0.446175,4.078948,-2.615249
2.650000,6.501972,-0.650045,-2.601716,-0.479633,3.919497,-2.614481
2.700000,6.614854,-0.866642,-2.721678,-0.506524,3.750286,-2.593619
2.750000,6.699689,-1.095658,-2.855611,-0.594528,3.583830,-1.879967
2.800000,6.750448,-1.334485,-3.012575,-0.688000,3.456025,-1.174287
2.850000,6.760443,-1.578370,3.090305,-0.788965,3.376402,-0.773243
2.900000,6.724017,-1.819638,2.891892,-0.825884,3.320886,-0.424404
2.950000,6.640277,-2.048825,2.688943,-0.857881,3.294970,-0.007829
3.000000,6.510587,-2.255360,2.470976,-0.901390,3.293752,0.280557
3.050000,6.339704,-2.429513,2.264703,-0.793218,3.320983,1.222361
3.100000,6.138329,-2.567410,2.080952,-0.715070,3.413661,1.640639
3.150000,5.915960,-2.668141,1.913727,-0.655916,3.530346,1.798675
3.200000,5.680337,-2.732161,1.760929,-0.595285,3.653732,2.025166
3.250000,5.437876,-2.761345,1.622547,-0.538958,3.788331,2.233945
3.300000,5.193644,-2.758502,1.498194,-0.478690,3.931340,2.568389
3.350000,4.951372,-2.727216,1.389238,-0.412799,4.090275,3.059420
3.400000,4.713434,-2.671742,1.297192,-0.340394,4.272591,3.738461
3.450000,4.480891,-2.596705,1.223226,-0.264612,4.485562,4.663467
3.500000,4.253672,-2.506794,1.167826,-0.189970,4.736754,5.245918
3.550000,4.030922,-2.406299,1.128493,-0.132600,5.000368,5.239971
3.600000,3.811536,-2.298627,1.102895,-0.076561,5.250211,5.254068
3.650000,3.594203,-2.186860,1.090896,-0.022933,5.489241,5.183413
3.700000,3.377507,-2.073835,1.091096,0.024508,5.716422,5.344299
3.750000,3.160133,-1.962109,1.102854,0.070838,5.933002,0.720858
3.800000,2.940871,-1.854117,1.125040,0.110427,5.920986,-6.098201
3.850000,2.718772,-1.752091,1.156997,0.151624,5.675105,-4.213136
3.900000,2.493056,-1.658375,1.199251,0.193924,5.491911,-3.507185
3.950000,2.263165,-1.575465,1.251824,0.236908,5.338027,-2.441257
4.000000,2.028868,-1.506041,1.315681,0.287146,5.231009,-0.889232
4.050000,1.790278,-1.453337,1.393815,0.352209,5.196476,-0.002647
4.100000,1.548122,-1.420896,1.481772,0.359172,5.195498,0.290332
4.150000,1.304059,-1.409384,1.563579,0.310377,5.214141,1.500935
4.200000,1.059810,-1.416442,1.633959,0.265802,5.288663,2.504700
4.250000,0.816526,-1.439366,1.693871,0.225056,5.407011,3.358101
4.300000,0.574872,-1.475698,1.744860,0.192688,5.559533,3.978101
4.350000,0.335188,-1.523376,1.788176,0.161452,5.734033,4.619906
4.400000,0.097563,-1.580466,1.823679,0.129373,5.930608,5.238741
4.450000,-0.138139,-1.645062,1.851691,0.099842,6.142766,5.210206
4.500000,-0.372203,-1.715384,1.872379,0.069335,6.346726,5.206158
4.550000,-0.605048,-1.789655,1.885484,0.038206,6.544217,5.243909
4.600000,-0.837182,-1.866129,1.891486,0.011117,6.736199,2.166543
4.650000,-1.069113,-1.943222,1.890754,-0.017351,6.764713,-9.275808
4.700000,-1.301369,-2.019325,1.882965,-0.046014,6.430167,-7.165323
4.750000,-1.534461,-2.092822,1.868401,-0.073490,6.151519,-6.682013
4.800000,-1.768837,-2.162100,1.846765,-0.103801,5.883940,-5.878549
4.850000,-2.004893,-2.225398,1.817517,-0.135305,5.636694,-5.362632
4.900000,-2.242902,-2.280883,1.780973,-0.163979,5.401079,-4.832543
4.950000,-2.482944,-2.326739,1.736698,-0.199149,5.180593,-4.317085
5.000000,-2.724923,-2.360864,1.683653,-0.234371,4.974299,-3.976426
