# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.852928,5.125907,-0.046640,-0.816011,1.500555,0.756812
0.050000,-0.726384,5.113527,-0.149232,-0.806842,1.593445,-0.235971
0.100000,-0.601823,5.088347,-0.247699,-0.760456,1.591513,0.350591
0.150000,-0.480178,5.051388,-0.340924,-0.704737,1.591832,1.063061
0.200000,-0.362340,5.003668,-0.427981,-0.661697,1.666894,0.804542
0.250000,-0.248931,4.946207,-0.509051,-0.618807,1.744455,0.576384
0.300000,-0.140382,4.880012,-0.584874,-0.571952,1.777751,0.955231
0.350000,-0.036959,4.806051,-0.656414,-0.547245,1.839598,0.727626
0.400000,0.061061,4.725071,-0.724343,-0.527319,1.903055,0.444304
0.450000,0.153469,4.637736,-0.788932,-0.490790,1.927409,0.875917
0.500000,0.240246,4.544795,-0.849918,-0.463587,1.975239,0.945553
0.550000,0.321372,4.446885,-0.907598,-0.445780,2.042756,0.690426
0.600000,0.396837,4.344546,-0.962531,-0.420298,2.085686,0.849977
0.650000,0.466736,4.238323,-1.014544,-0.396022,2.131465,0.993591
0.700000,0.531186,4.128707,-1.063652,-0.376666,2.191002,0.948655
0.750000,0.590316,4.016133,-1.110176,-0.355883,2.245565,1.016895
0.800000,0.644297,3.900998,-1.154117,-0.334932,2.300097,1.128767
0.850000,0.693324,3.783667,-1.195483,-0.315619,2.360613,1.194038
0.900000,0.737601,3.664461,-1.234435,-0.296814,2.423174,1.273428
0.950000,0.777348,3.543668,-1.270983,-0.278473,2.487679,1.369989
1.000000,0.812791,3.421543,-1.305246,-0.260936,2.555414,1.466204
1.050000,0.844161,3.298307,-1.337620,-0.244062,2.626027,1.570009
1.100000,0.871690,3.174156,-1.367327,-0.227789,2.699513,1.684469
1.150000,0.895610,3.049259,-1.394488,-0.212114,2.776184,1.809359
1.200000,0.916151,2.923762,-1.423752,-0.196916,2.856200,1.950591
1.250000,0.933541,2.797788,-1.446015,-0.182223,2.939905,2.106680
1.300000,0.948007,2.671445,-1.454760,-0.168082,3.027750,2.275755
1.350000,0.959769,2.544821,-1.512683,-0.153905,3.119755,2.489558
1.400000,0.969051,2.417990,-1.532416,-0.139646,3.216822,2.752426
1.450000,0.976078,2.291015,-1.349376,-0.126029,3.320885,3.028782
1.500000,0.981067,2.163942,-1.758557,-0.112597,3.431942,3.340799
1.550000,0.984239,2.036811,-2.083044,-0.098796,3.550037,3.739852
1.600000,0.985813,1.909650,1.186250,-0.084816,3.676999,4.269204
1.650000,0.986017,1.782480,-1.279859,-0.070539,3.816191,4.810366
1.700000,0.985089,1.655313,-1.209541,-0.054630,3.969051,5.181843
1.750000,0.983294,1.528155,-1.768705,-0.033620,4.129667,5.299240
1.800000,0.980949,1.401005,-1.589586,-0.012294,4.290065,5.260383
1.850000,0.978378,1.273860,-1.556548,-0.000079,4.443555,5.250816
1.900000,0.975772,1.146715,-1.603461,0.003668,4.591229,5.257253
1.950000,0.973216,1.019570,-1.592540,0.003083,4.734643,5.252323
2.000000,0.970709,0.892424,-1.587319,0.002698,4.873726,5.248542
2.050000,0.968248,0.765277,-1.590722,0.002770,5.008812,5.246340
2.100000,0.965832,0.638128,-1.589924,0.002608,5.140309,5.243351
2.150000,0.963457,0.510980,-1.589065,0.002504,5.268454,5.240884
2.200000,0.961124,0.383830,-1.589029,0.002448,5.393489,5.237316
2.250000,0.958829,0.256679,-1.588722,0.002312,5.515630,5.233303
2.300000,0.956572,0.129528,-1.588385,0.002178,5.635012,5.236873
2.350000,0.954351,0.002377,-1.588132,0.002089,5.751931,5.227857
2.400000,0.952163,-0.124776,-1.587872,0.002039,5.866562,5.203034
2.450000,0.950009,-0.251928,-1.587610,0.002016,5.978303,5.278121
2.500000,0.947886,-0.379082,-1.587357,0.001989,6.088607,5.244707
2.550000,0.945796,-0.506236,-1.587109,0.001921,6.198938,4.891233
2.600000,0.943737,-0.633390,-1.586868,0.001847,6.299545,5.763013
2.650000,0.941709,-0.760545,-1.586634,0.001825,6.402597,5.966618
2.700000,0.939709,-0.887701,-1.586398,0.001891,6.537356,-0.628855
2.750000,0.937741,-1.014857,-1.586149,0.002026,6.580572,-8.031833
2.800000,0.935806,-1.142013,-1.585881,0.002187,6.443109,-9.675811
2.850000,0.933905,-1.269170,-1.585593,0.002349,6.248172,-9.580492
2.900000,0.932043,-1.396328,-1.585285,0.002497,6.050329,-9.604625
2.950000,0.930221,-1.523486,-1.584956,0.002667,5.844364,-9.534258
3.000000,0.928443,-1.650644,-1.584594,0.002997,5.633594,-9.779482
3.050000,0.926713,-1.777804,-1.584207,0.003208,5.411393,-9.629730
3.100000,0.925025,-1.904964,-1.583948,0.001441,5.171749,-7.869528
3.150000,0.923335,-2.032124,-1.584522,-0.009152,4.958677,-6.124315
3.200000,0.921486,-2.159281,-1.586671,-0.026991,4.791444,-5.357927
3.250000,0.919211,-2.286432,-1.590845,-0.039829,4.642398,-4.744158
3.300000,0.916308,-2.413569,-1.596580,-0.048781,4.505557,-4.145922
3.350000,0.912611,-2.540686,-1.603374,-0.058049,4.382694,-3.679473
3.400000,0.907976,-2.667773,-1.611305,-0.066964,4.271205,-3.317741
3.450000,0.902263,-2.794817,-1.620343,-0.075111,4.168558,-3.023310
3.500000,0.895337,-2.921800,-1.630376,-0.082617,4.072909,-2.773148
3.550000,0.887078,-3.048705,-1.641342,-0.089807,3.983367,-2.574234
3.600000,0.877371,-3.175507,-1.653202,-0.096746,3.898787,-2.437117
3.650000,0.866106,-3.302182,-1.665918,-0.103267,3.817549,-2.361542
3.700000,0.853180,-3.428697,-1.679432,-0.109260,3.737550,-2.310244
3.750000,0.838497,-3.555021,-1.693696,-0.114962,3.657596,-2.257426
3.800000,0.821969,-3.681116,-1.708697,-0.120935,3.577695,-2.203562
3.850000,0.803502,-3.806941,-1.724484,-0.127377,3.497979,-2.164293
3.900000,0.783000,-3.932448,-1.741114,-0.134232,3.418135,-2.133073
3.950000,0.760357,-4.057587,-1.758635,-0.141339,3.337322,-2.065395
4.000000,0.735467,-4.182295,-1.777120,-0.149229,3.256645,-1.968689
4.050000,0.708213,-4.306507,-1.796675,-0.158391,3.177710,-1.875945
4.100000,0.678460,-4.430144,-1.817444,-0.168370,3.100801,-1.809917
4.150000,0.646067,-4.553114,-1.839507,-0.178694,3.025076,-1.753304
4.200000,0.610888,-4.675316,-1.862904,-0.189229,2.949596,-1.675654
