time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.852928,5.125907,-0.046640,-0.816011,2.122105,0.803435
0.050000,-0.683203,5.106246,-0.183675,-0.793654,2.190084,0.472723
0.100000,-0.517643,5.064083,-0.312558,-0.721385,2.226601,1.048861
0.150000,-0.358469,5.001897,-0.430788,-0.660396,2.301171,1.242682
0.200000,-0.207317,4.922161,-0.538274,-0.600087,2.392953,1.403291
0.250000,-0.065135,4.827310,-0.636942,-0.551856,2.488530,1.435893
0.300000,0.067423,4.719415,-0.728773,-0.525225,2.588487,1.191214
0.350000,0.189853,4.600134,-0.814469,-0.477114,2.663882,1.520224
0.400000,0.302095,4.471212,-0.893783,-0.450574,2.759717,1.402726
0.450000,0.404106,4.334047,-0.967891,-0.417578,2.845617,1.531690
0.500000,0.496075,4.189947,-1.036730,-0.387239,2.934991,1.640126
0.550000,0.578297,4.040068,-1.100589,-0.360403,3.029140,1.714215
0.600000,0.651144,3.885409,-1.159801,-0.332271,3.123546,1.874014
0.650000,0.715084,3.726857,-1.214413,-0.306601,3.223964,2.010919
0.700000,0.770627,3.565169,-1.264687,-0.281663,3.328228,2.176212
0.750000,0.818318,3.400990,-1.310790,-0.258071,3.437508,2.350927
0.800000,0.858717,3.234864,-1.353258,-0.235655,3.551797,2.540909
0.850000,0.892387,3.067243,-1.390562,-0.214333,3.671307,2.748734
0.900000,0.919889,2.898497,-1.429496,-0.193919,3.796347,2.982442
0.950000,0.941778,2.728931,-1.449437,-0.174471,3.927471,3.238135
1.000000,0.958599,2.558785,-1.503166,-0.155485,4.065081,3.542311
1.050000,0.970891,2.388251,-1.498513,-0.136389,4.210196,3.917296
1.100000,0.979200,2.217476,-1.443909,-0.118293,4.365205,4.319241
1.150000,0.984055,2.046566,-2.151226,-0.099864,4.529662,4.864781
1.200000,0.985993,1.875598,2.446911,-0.081037,4.708244,5.202138
1.250000,0.985567,1.704620,-0.932635,-0.061222,4.893186,5.260825
1.300000,0.983385,1.533654,-1.766866,-0.034618,5.073768,5.241466
1.350000,0.980188,1.362704,-1.552383,-0.007533,5.247420,5.241719
1.400000,0.976691,1.191759,-1.595097,0.003096,5.415534,5.237083
