time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.850047,5.024163,-0.062169,-0.881476,2.582289,-0.014289
0.050000,-0.662180,4.997689,-0.212459,-0.720587,2.580885,0.412211
0.100000,-0.479930,4.945549,-0.342104,-0.639415,2.609923,1.260192
0.150000,-0.305293,4.871363,-0.460263,-0.603828,2.699272,1.190355
0.200000,-0.140258,4.777752,-0.570187,-0.556428,2.782059,1.368812
0.250000,0.014037,4.667197,-0.671962,-0.514669,2.873390,1.483696
0.300000,0.156804,4.542092,-0.766001,-0.476347,2.969853,1.578373
0.350000,0.287673,4.404634,-0.852668,-0.437939,3.068805,1.731432
0.400000,0.406682,4.256740,-0.932704,-0.405310,3.173957,1.811878
0.450000,0.513966,4.100114,-1.006848,-0.376108,3.280487,1.882152
0.500000,0.609791,3.936234,-1.075654,-0.349032,3.387533,1.964690
0.550000,0.694550,3.766357,-1.139550,-0.324043,3.495818,2.053737
0.600000,0.768701,3.591585,-1.198778,-0.299901,3.605485,2.175190
0.650000,0.832783,3.412873,-1.253490,-0.276366,3.718087,2.328512
0.700000,0.887401,3.231044,-1.303751,-0.252997,3.834927,2.529623
0.750000,0.933225,3.046801,-1.349572,-0.229631,3.957900,2.761834
0.800000,0.970974,2.860734,-1.390956,-0.206111,4.087987,2.959172
0.850000,1.001415,2.673331,-1.427812,-0.182383,4.223010,3.150730
0.900000,1.025350,2.484988,-1.460262,-0.158431,4.362077,3.461015
0.950000,1.043611,2.296008,-1.487817,-0.134362,4.509783,3.867700
1.000000,1.057043,2.106614,-1.511539,-0.110692,4.669366,4.385035
1.050000,1.066495,1.916990,-1.529974,-0.086109,4.843610,5.089795
1.100000,1.072845,1.727233,-1.540531,-0.062461,5.038863,5.245864
1.150000,1.076936,1.537411,-1.577112,-0.043635,5.232812,5.241161
1.200000,1.079439,1.347571,-1.443045,-0.032836,5.419641,5.237126
1.250000,1.080733,1.157715,-2.098091,-0.029931,5.600113,5.232774
1.300000,1.080946,0.967854,-2.860402,-0.027299,5.774801,5.228542
1.350000,1.080178,0.777995,-1.186991,-0.024129,5.944224,5.224307
