# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.095075,8.250606,-3.118376,1.063170,1.297533,-0.004537
0.050000,-0.231045,8.237499,-2.975555,1.013832,1.291195,0.191088
0.100000,-0.363874,8.204960,-2.824703,1.129463,1.303167,-0.222035
0.150000,-0.490088,8.152744,-2.670448,1.187615,1.293904,0.074969
0.200000,-0.606653,8.081452,-2.519615,1.058961,1.273263,1.422816
0.250000,-0.711991,7.994335,-2.385168,0.899615,1.388519,1.335762
0.300000,-0.805716,7.894812,-2.269835,0.784857,1.548143,0.580155
0.350000,-0.888182,7.785766,-2.168809,0.692494,1.593437,1.183006
0.400000,-0.959945,7.669380,-2.079679,0.612011,1.675453,1.425155
0.450000,-1.021689,7.547364,-2.000379,0.546635,1.795966,1.174292
0.500000,-1.074128,7.421060,-1.929305,0.494806,1.884655,1.212077
0.550000,-1.117945,7.291508,-1.866074,0.433443,1.966522,1.549853
0.600000,-1.154086,7.159600,-1.812133,0.356502,2.063704,2.502130
0.650000,-1.183801,7.026098,-1.769562,0.266609,2.202285,3.652614
0.700000,-1.208667,6.891607,-1.740060,0.165213,2.410106,3.148482
0.750000,-1.230517,6.756587,-1.724895,0.056316,2.610968,-0.308142
0.800000,-1.251321,6.621402,-1.724638,-0.053650,2.658170,-4.318157
0.850000,-1.273097,6.486370,-1.739064,-0.158118,2.438623,-3.691747
0.900000,-1.297769,6.351841,-1.767581,-0.258755,2.193015,-1.898480
0.950000,-1.327155,6.218270,-1.809331,-0.353483,2.058382,-1.593165
1.000000,-1.362913,6.086263,-1.863100,-0.434892,1.950102,-1.556248
1.050000,-1.406392,5.956604,-1.927083,-0.502499,1.832597,-0.824204
1.100000,-1.458684,5.830250,-2.000737,-0.571607,1.747821,0.023913
1.150000,-1.520638,5.708343,-2.083324,-0.642362,1.746927,-0.039011
1.200000,-1.592785,5.592208,-2.169478,-0.636204,1.745071,0.400412
1.250000,-1.674522,5.482577,-2.251438,-0.561629,1.756957,1.313945
1.300000,-1.764414,5.379526,-2.322899,-0.481867,1.845654,1.775137
1.350000,-1.860925,5.282631,-2.383906,-0.409584,1.968484,2.084726
1.400000,-1.962729,5.191300,-2.435316,-0.342692,2.103140,2.375742
1.450000,-2.068703,5.104836,-2.477647,-0.276649,2.248586,2.918061
1.500000,-2.177873,5.022438,-2.510920,-0.210058,2.407485,4.316191
1.550000,-2.289363,4.943203,-2.534977,-0.141902,2.620976,4.337331
1.600000,-2.402365,4.866138,-2.549538,-0.071216,2.861810,1.187087
1.650000,-2.516107,4.790171,-2.554258,0.002183,2.971232,-3.397113
1.700000,-2.629828,4.714175,-2.549066,0.074446,2.844672,-4.137656
1.750000,-2.742739,4.636988,-2.533189,0.153747,2.599617,-0.787237
1.800000,-2.853980,4.557408,-2.505443,0.251424,2.530901,0.204995
1.850000,-2.962504,4.474176,-2.467973,0.309698,2.545415,-0.149505
1.900000,-3.067563,4.386606,-2.425738,0.309980,2.539341,-0.009010
1.950000,-3.168863,4.294713,-2.384443,0.293298,2.533021,0.561668
2.000000,-3.266392,4.198825,-2.345214,0.278944,2.555881,0.881760
2.050000,-3.360178,4.099273,-2.307735,0.269469,2.602944,0.856236
2.100000,-3.450232,3.996333,-2.271552,0.259878,2.647707,0.874995
2.150000,-3.536572,3.890257,-2.236620,0.250781,2.691982,0.898094
2.200000,-3.619222,3.781280,-2.202886,0.242555,2.737275,0.896965
2.250000,-3.698210,3.669621,-2.170245,0.234779,2.781723,0.899826
2.300000,-3.773572,3.555483,-2.138634,0.227464,2.825569,0.902727
2.350000,-3.845346,3.439054,-2.107995,0.220582,2.868923,0.904604
2.400000,-3.913575,3.320513,-2.078272,0.214061,2.911703,0.907783
2.450000,-3.978304,3.200025,-2.049419,0.207863,2.953996,0.912160
2.500000,-4.039581,3.077744,-2.021394,0.201950,2.995881,0.917936
2.550000,-4.097457,2.953818,-1.994161,0.196288,3.037430,0.925502
2.600000,-4.151986,2.828382,-1.967687,0.190842,3.078736,0.935101
2.650000,-4.203221,2.701565,-1.941946,0.185585,3.119893,0.946989
2.700000,-4.251221,2.573488,-1.916912,0.180488,3.161004,0.961455
2.750000,-4.296045,2.444265,-1.892566,0.175527,3.202178,0.978814
2.800000,-4.337754,2.314002,-1.868889,0.170679,3.243532,0.999341
2.850000,-4.376411,2.182802,-1.845871,0.165921,3.285187,1.023375
2.900000,-4.412080,2.050757,-1.823503,0.161234,3.327274,1.051349
2.950000,-4.444829,1.917959,-1.801749,0.156598,3.369931,1.083712
3.000000,-4.474726,1.784488,-1.780666,0.152003,3.413310,1.120360
3.050000,-4.501842,1.650426,-1.760241,0.147430,3.457558,1.161916
3.100000,-4.526250,1.515843,-1.740119,0.142822,3.502808,1.211884
3.150000,-4.548023,1.380809,-1.721310,0.138255,3.549328,1.264474
3.200000,-4.567240,1.245388,-1.703253,0.133749,3.597295,1.318274
3.250000,-4.583976,1.109638,-1.681335,0.128994,3.646520,1.395359
3.300000,-4.598315,0.973613,-1.671498,0.124156,3.697704,1.482779
3.350000,-4.610341,0.837364,-1.659016,0.119567,3.751478,1.556236
3.400000,-4.620138,0.700937,-1.587377,0.115231,3.807268,1.617207
3.450000,-4.627783,0.564373,-1.699398,0.110677,3.864414,1.703977
3.500000,-4.633361,0.427709,-1.686697,0.105617,3.923291,1.838599
3.550000,-4.636965,0.290979,-0.915142,0.100380,3.985678,1.993130
3.600000,-4.638690,0.154211,-3.117045,0.095293,4.052288,2.140589
3.650000,-4.638634,0.017433,-1.403872,0.090248,4.122863,2.293381
3.700000,-4.636889,-0.119334,-2.031496,0.084766,4.196900,2.496977
3.750000,-4.633559,-0.256072,-1.361822,0.079122,4.275811,2.728290
3.800000,-4.628749,-0.392766,-1.534748,0.073757,4.360530,2.947084
3.850000,-4.622559,-0.529405,-1.550008,0.068819,4.450618,3.141114
3.900000,-4.615084,-0.665978,-1.498621,0.063657,4.544714,3.382762
3.950000,-4.606421,-0.802482,-1.504560,0.058116,4.643422,3.688061
4.000000,-4.596673,-0.938912,-1.497462,0.052489,4.748671,4.030579
4.050000,-4.585946,-1.075269,-1.488046,0.046694,4.860937,4.443148
4.100000,-4.574349,-1.211555,-1.483121,0.040802,4.981520,4.873622
4.150000,-4.561991,-1.347774,-1.477889,0.035009,5.111161,5.193428
4.200000,-4.548980,-1.483933,-1.473328,0.029418,5.247124,5.276164
4.250000,-4.535422,-1.620037,-1.469766,0.023832,5.383229,5.225850
4.300000,-4.521420,-1.756097,-1.466891,0.018030,5.514636,5.222112
4.350000,-4.507084,-1.892122,-1.464821,0.012065,5.642398,5.293029
4.400000,-4.492523,-2.028124,-1.463585,0.006061,5.769004,5.125667
4.450000,-4.477849,-2.164113,-1.463162,0.000122,5.891667,5.125960
4.500000,-4.463172,-2.300102,-1.463547,-0.005732,6.005421,6.068704
4.550000,-4.448602,-2.436102,-1.464734,-0.011598,6.140828,3.252084
4.600000,-4.434249,-2.572125,-1.466724,-0.017532,6.248235,-2.719976
4.650000,-4.420221,-2.708183,-1.469529,-0.023488,6.207173,-4.159001
4.700000,-4.406630,-2.844285,-1.473146,-0.029401,6.109659,-3.174046
4.750000,-4.393588,-2.980440,-1.477577,-0.035355,6.033415,-2.254744
4.800000,-4.381203,-3.116657,-1.482822,-0.041403,5.976983,-1.291178
4.850000,-4.369589,-3.252941,-1.488868,-0.046982,5.942607,-0.547138
4.900000,-4.358853,-3.389298,-1.495706,-0.052746,5.927154,-0.048726
4.950000,-4.349093,-3.525728,-1.503188,-0.057369,5.923563,0.130177
5.000000,-4.340386,-3.662230,-1.510703,-0.051523,5.928788,-0.973577
5.050000,-4.332630,-3.798789,-1.517106,-0.038511,5.916899,-3.037441
5.100000,-4.325606,-3.935387,-1.521548,-0.027257,5.857632,-5.174377
5.150000,-4.319093,-4.072011,-1.524537,-0.017256,5.747833,-7.379373
5.200000,-4.312901,-4.208649,-1.526253,-0.007591,5.580609,-8.562678
5.250000,-4.306851,-4.345294,-1.526637,0.001946,5.366289,-8.049894
5.300000,-4.300765,-4.481937,-1.525727,0.011283,5.151343,-7.107717
5.350000,-4.294468,-4.618571,-1.523545,0.020603,4.953184,-6.273773
5.400000,-4.287786,-4.755186,-1.520090,0.029970,4.771960,-5.554477
5.450000,-4.280544,-4.891773,-1.515354,0.039242,4.605098,-4.831150
5.500000,-4.272568,-5.028319,-1.509304,0.049181,4.454242,-4.166555
5.550000,-4.263672,-5.164809,-1.501872,0.059824,4.320127,-3.670403
5.600000,-4.253662,-5.301220,-1.493000,0.069911,4.199614,-3.385434
5.650000,-4.242352,-5.437530,-1.482846,0.078320,4.086282,-3.180870
5.700000,-4.229583,-5.573711,-1.471612,0.085473,3.976724,-2.959469
5.750000,-4.215221,-5.709735,-1.459411,0.092964,3.871661,-2.718082
5.800000,-4.199129,-5.845564,-1.446146,0.101194,3.772408,-2.489822
5.850000,-4.181159,-5.981157,-1.431719,0.109887,3.679216,-2.286302
5.900000,-4.161153,-6.116465,-1.416091,0.118610,3.591512,-2.101074
5.950000,-4.138954,-6.251430,-1.399267,0.127385,3.509053,-1.943164
6.000000,-4.114408,-6.385988,-1.381249,0.136124,3.431178,-1.807605
6.050000,-4.087360,-6.520065,-1.362038,0.144729,3.357138,-1.685752
6.100000,-4.057665,-6.653581,-1.341651,0.153364,3.286683,-1.585204
6.150000,-4.025175,-6.786444,-1.320087,0.161986,3.219173,-1.500422
6.200000,-3.989750,-6.918554,-1.297343,0.170552,3.153972,-1.421012
