# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,ax_mps2
0.000000,-0.848929,5.029224,-0.027712,-0.830854,2.728088,-0.015935
0.050000,-0.673890,5.011699,-0.171361,-0.806158,2.727175,-0.023439
0.100000,-0.503029,4.969857,-0.306553,-0.735989,2.725712,0.004849
0.150000,-0.338904,4.906444,-0.428488,-0.651304,2.726220,-0.094825
0.200000,-0.183146,4.824558,-0.537643,-0.588336,2.719604,0.398389
0.250000,-0.036707,4.726959,-0.636639,-0.537517,2.741535,1.060579
0.300000,0.099866,4.615953,-0.726856,-0.487631,2.807736,1.209224
0.350000,0.226382,4.493600,-0.809394,-0.450125,2.882727,1.150025
0.400000,0.342803,4.361596,-0.885721,-0.417256,2.952418,1.099704
0.450000,0.449220,4.221395,-0.956445,-0.386572,3.017263,1.105661
0.500000,0.545846,4.074269,-1.022140,-0.359935,3.081163,1.075531
0.550000,0.632956,3.921311,-1.083350,-0.335715,3.142130,1.058794
0.600000,0.710876,3.763467,-1.140480,-0.313536,3.200919,1.049925
0.650000,0.779965,3.601558,-1.193880,-0.293270,3.258200,1.040166
0.700000,0.840603,3.436293,-1.243822,-0.274291,3.313939,1.043448
0.750000,0.893193,3.268290,-1.290514,-0.256099,3.368863,1.066145
0.800000,0.938157,3.098085,-1.333997,-0.238270,3.424007,1.112431
0.850000,0.975946,2.926143,-1.374401,-0.220294,3.480517,1.192639
0.900000,1.007042,2.752863,-1.411630,-0.201781,3.539987,1.313519
0.950000,1.031967,2.578588,-1.444654,-0.182530,3.604253,1.478129
1.000000,1.051285,2.403602,-1.479091,-0.162103,3.675119,1.706724
1.050000,1.065608,2.228135,-1.489390,-0.140171,3.755109,2.036617
1.100000,1.075603,2.052368,-1.568493,-0.117139,3.848279,2.418928
1.150000,1.081970,1.876431,-1.415094,-0.093746,3.956112,3.006953
1.200000,1.085441,1.700412,-1.877902,-0.067800,4.085304,4.183211
1.250000,1.086836,1.524364,-0.979243,-0.036471,4.257279,5.336915
1.300000,1.087090,1.348310,-1.538300,-0.010628,4.472362,5.255453
1.350000,1.086915,1.172256,-1.441256,-0.010893,4.674938,5.246358
1.400000,1.086367,0.996202,-1.654553,-0.016864,4.868357,5.253315
1.450000,1.085320,0.820151,-1.545361,-0.017010,5.054845,5.243562
1.500000,1.083755,0.644103,-1.592445,-0.015278,5.234268,5.241814
1.550000,1.081714,0.468061,-1.580228,-0.014164,5.407721,5.237369
1.600000,1.079234,0.292023,-1.586967,-0.012878,5.575627,5.232832
1.650000,1.076356,0.115992,-1.588004,-0.011614,5.738494,5.230810
1.700000,1.073117,-0.060032,-1.590175,-0.010398,5.896777,5.223447
1.750000,1.069556,-0.236051,-1.591868,-0.009129,6.050786,5.219547
1.800000,1.065713,-0.412063,-1.593350,-0.007805,6.200653,5.248968
1.850000,1.061627,-0.588071,-1.594617,-0.006500,6.348291,5.047655
1.900000,1.057340,-0.764073,-1.595645,-0.005204,6.486070,5.888686
1.950000,1.052892,-0.940071,-1.596437,-0.003756,6.644913,1.714035
2.000000,1.048329,-1.116067,-1.596953,-0.002154,6.705745,-6.448198
2.050000,1.043698,-1.292060,-1.597211,-0.000678,6.544715,-10.219047
2.100000,1.039048,-1.468054,-1.597170,0.001067,6.262893,-9.411726
2.150000,1.034431,-1.644048,-1.596810,0.003022,5.991980,-9.220505
2.200000,1.029904,-1.820044,-1.596206,0.004718,5.713244,-8.510818
2.250000,1.025548,-1.996044,-1.594631,0.010838,5.444255,-8.471715
2.300000,1.021483,-2.172051,-1.593340,0.003153,5.162553,-7.917276
2.350000,1.017474,-2.348058,-1.594298,-0.014076,4.882241,-6.448444
2.400000,1.013025,-2.524055,-1.598371,-0.032104,4.639901,-4.994453
2.450000,1.007584,-2.700024,-1.605557,-0.049309,4.443443,-3.995178
2.500000,1.000621,-2.875938,-1.615620,-0.064830,4.279976,-3.147487
2.550000,0.991657,-3.051760,-1.628260,-0.078769,4.146123,-2.381089
2.600000,0.980256,-3.227441,-1.643343,-0.092704,4.042157,-1.944995
2.650000,0.965987,-3.402912,-1.660970,-0.107597,3.955916,-1.791043
2.700000,0.948393,-3.578081,-1.681283,-0.123171,3.875089,-1.685871
2.750000,0.927005,-3.752826,-1.704356,-0.139002,3.797403,-1.581838
2.800000,0.901345,-3.926996,-1.730265,-0.155394,3.723029,-1.479307
2.850000,0.870927,-4.100397,-1.759130,-0.172538,3.652103,-1.393420
2.900000,0.835256,-4.272793,-1.791050,-0.190122,3.584066,-1.307339
2.950000,0.793833,-4.443898,-1.826113,-0.208266,3.518900,-1.185999
3.000000,0.746162,-4.613367,-1.864460,-0.227369,3.458605,-1.060048
3.050000,0.691748,-4.780791,-1.906186,-0.246594,3.403875,-0.966269
3.100000,0.630123,-4.945694,-1.951216,-0.264986,3.353233,-0.877734
3.150000,0.560878,-5.107544,-1.999444,-0.282951,3.306492,-0.784916
3.200000,0.483663,-5.265744,-2.050815,-0.300682,3.264209,-0.751289
3.250000,0.398195,-5.419639,-2.105156,-0.316900,3.223468,-0.761318
3.300000,0.304284,-5.568528,-2.162348,-0.332982,3.181534,-0.679043
3.350000,0.201826,-5.711665,-2.222184,-0.347352,3.143191,-0.613170
3.400000,0.090829,-5.848285,-2.284319,-0.358956,3.108991,-0.703084
3.450000,-0.028582,-5.977618,-2.348770,-0.373756,3.069128,-0.708550
3.500000,-0.156233,-6.098823,-2.415864,-0.389102,3.027867,-0.642800
3.550000,-0.291863,-6.211026,-2.485355,-0.400899,2.990432,-0.745842
3.600000,-0.435069,-6.313378,-2.557192,-0.415597,2.946756,-0.845796
3.650000,-0.585374,-6.404976,-2.631899,-0.433680,2.895688,-0.796111
3.700000,-0.742209,-6.484858,-2.709532,-0.448659,2.847301,-1.152044
3.750000,-0.904870,-6.552063,-2.790782,-0.473314,2.777613,-1.470060
3.800000,-1.072614,-6.605299,-2.879611,-0.534654,2.681595,-0.810549
3.850000,-1.244637,-6.642371,-2.981876,-0.628574,2.622590,0.050342
3.900000,-1.419676,-6.660286,-3.099883,-0.714895,2.625710,-0.018597
3.950000,-1.595562,-6.656261,3.052321,-0.776840,2.624753,-0.019098
4.000000,-1.769248,-6.628392,2.911246,-0.827825,2.623333,-0.012301
4.050000,-1.936962,-6.575381,2.756484,-0.931457,2.622551,-0.013671
4.100000,-2.093798,-6.495869,2.585739,-1.019547,2.621635,-0.022978
4.150000,-2.234414,-6.390342,2.411035,-0.980914,2.620086,0.013841
4.200000,-2.355328,-6.262625,2.250602,-0.847408,2.620863,-0.097362
4.250000,-2.455998,-6.118355,2.113474,-0.712071,2.615397,0.196215
4.300000,-2.537723,-5.962528,1.997460,-0.603684,2.622846,1.238675
4.350000,-2.602173,-5.798786,1.895627,-0.551228,2.703602,1.211123
4.400000,-2.650341,-5.629520,1.801330,-0.520234,2.782832,0.898905
4.450000,-2.682844,-5.456550,1.712711,-0.487792,2.839656,0.879097
4.500000,-2.700396,-5.281418,1.629518,-0.458107,2.893412,0.878963
4.550000,-2.703782,-5.105437,1.551346,-0.430878,2.946603,0.871834
4.600000,-2.693849,-4.929698,1.478194,-0.401033,2.997989,0.978729
4.650000,-2.671576,-4.755091,1.410639,-0.367041,3.054252,1.181205
4.700000,-2.638110,-4.582273,1.349530,-0.327768,3.120686,1.486668
4.750000,-2.594767,-4.411659,1.295845,-0.282457,3.201984,1.924974
4.800000,-2.543002,-4.243403,1.250168,-0.236424,3.304500,2.363231
4.850000,-2.484252,-4.077451,1.212124,-0.195548,3.426933,2.677857
4.900000,-2.419815,-3.913620,1.181158,-0.156227,3.560828,3.076094
4.950000,-2.350906,-3.751616,1.157320,-0.114646,3.707869,3.926879
5.000000,-2.278743,-3.591033,1.140836,-0.072497,3.886711,4.765248
5.050000,-2.204529,-3.431385,1.131657,-0.031694,4.095146,5.658355
5.100000,-2.129404,-3.272164,1.129317,0.005416,4.330891,1.973210
5.150000,-2.054403,-3.112884,1.133047,0.037081,4.436173,-4.229408
5.200000,-1.980438,-2.953122,1.142261,0.067549,4.258225,-0.786488
5.250000,-1.908385,-2.792488,1.156968,0.099504,4.220043,-0.008363
5.300000,-1.839154,-2.630620,1.177244,0.130960,4.220172,-0.059556
5.350000,-1.773658,-2.467207,1.202778,0.159265,4.217542,-0.028701
5.400000,-1.712786,-2.302018,1.233615,0.190746,4.216381,-0.041415
5.450000,-1.657542,-2.134866,1.270757,0.230780,4.214643,-0.036988
5.500000,-1.609161,-1.965606,1.315317,0.275476,4.213099,-0.038289
5.550000,-1.569062,-1.794199,1.368062,0.323201,4.211499,-0.037909
5.600000,-1.538699,-1.620810,1.427958,0.358789,4.209914,-0.037956
5.650000,-1.519087,-1.445878,1.489987,0.347642,4.208326,-0.037918
5.700000,-1.510090,-1.270078,1.548421,0.316828,4.206739,-0.037902
5.750000,-1.510893,-1.094046,1.601359,0.284685,4.205152,-0.037781
5.800000,-1.520523,-0.918271,1.648803,0.254364,4.203571,-0.038172
5.850000,-1.538019,-0.743101,1.691041,0.225539,4.201970,-0.036569
5.900000,-1.562474,-0.568764,1.728545,0.200329,4.200438,-0.041721
5.950000,-1.593074,-0.395397,1.761782,0.177295,4.198704,-0.026775
6.000000,-1.629060,-0.223066,1.790803,0.152452,4.197481,-0.062475
6.050000,-1.669655,-0.051760,1.815397,0.126906,4.195311,-0.003593
6.100000,-1.714067,0.118597,1.835510,0.101570,4.193544,1.052911
6.150000,-1.761509,0.288136,1.850974,0.074234,4.232209,3.281454
6.200000,-1.811170,0.457040,1.861771,0.048434,4.360601,5.135485
6.250000,-1.862289,0.625509,1.868396,0.026621,4.561569,4.051203
6.300000,-1.914197,0.793737,1.871129,0.004530,4.727816,-2.954736
6.350000,-1.966230,0.961927,1.869824,-0.019246,4.635194,-6.928861
6.400000,-2.017702,1.130288,1.864522,-0.041050,4.358173,-4.299707
6.450000,-2.067967,1.299015,1.855570,-0.060693,4.176492,-3.284622
6.500000,-2.116417,1.468271,1.843005,-0.082003,4.033295,-2.477306
6.550000,-2.162411,1.638209,1.826547,-0.104870,3.922250,-2.179388
6.600000,-2.205267,1.808965,1.806212,-0.126151,3.823078,-2.181255
6.650000,-2.244334,1.980627,1.782381,-0.144828,3.721059,-2.000417
6.700000,-2.278994,2.153231,1.754892,-0.167301,3.624112,-1.648432
6.750000,-2.308533,2.326783,1.723101,-0.193715,3.542213,-1.490479
6.800000,-2.332152,2.501236,1.686923,-0.217524,3.467359,-1.454609
6.850000,-2.349086,2.676463,1.646736,-0.239037,3.392328,-1.392655
6.900000,-2.358619,2.852245,1.602494,-0.263505,3.319402,-1.336213
6.950000,-2.360001,3.028276,1.554104,-0.286440,3.246705,-1.128858
7.000000,-2.352542,3.204153,1.502262,-0.302903,3.185362,-1.359837
7.050000,-2.335691,3.379377,1.446921,-0.325617,3.110117,-1.482035
7.100000,-2.308737,3.553330,1.386033,-0.365496,3.024961,-1.384918
7.150000,-2.270627,3.725176,1.317762,-0.410583,2.942264,-1.072169
7.200000,-2.220216,3.893815,1.241574,-0.455409,2.876355,-0.999351
7.250000,-2.156467,4.057867,1.157381,-0.501976,2.814804,-0.662642
7.300000,-2.078618,4.215705,1.066952,-0.528789,2.768936,-0.114026
7.350000,-1.986631,4.365748,0.975063,-0.517424,2.763520,-0.414289
7.400000,-1.881301,4.506741,0.883256,-0.522800,2.735716,-0.026639
7.450000,-1.763157,4.637172,0.783640,-0.607083,2.733182,-0.000250
7.500000,-1.631830,4.754284,0.670874,-0.677353,2.733507,-0.024043
7.550000,-1.487551,4.854976,0.545643,-0.746534,2.731837,-0.012797
7.600000,-1.331318,4.935862,0.407748,-0.823494,2.731063,-0.017272
7.650000,-1.165180,4.993458,0.257115,-0.892919,2.729892,-0.014799
